
Spine Center Intensity Max Ch=2 Img=1
 ==================== 
Spine Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
60,,Spine,2,5,Image 1,1,1,100000000,610000000776,
58,,Spine,2,1,Image 1,2,1,100000002,610000000778,
50,,Spine,2,3,Image 1,1,1,100000000,610000000783,
36,,Spine,2,1,Image 1,1,1,100000000,610000000785,
59,,Spine,2,1,Image 1,2,1,100000006,610000000790,
22,,Spine,2,1,Image 1,2,1,100000006,610000000794,
29,,Spine,2,3,Image 1,1,1,100000000,610000000797,
50,,Spine,2,5,Image 1,1,1,100000000,610000000800,
59,,Spine,2,1,Image 1,2,1,100000006,610000000806,
65,,Spine,2,5,Image 1,1,1,100000000,610000000808,
45,,Spine,2,5,Image 1,1,1,100000000,610000000811,
59,,Spine,2,5,Image 1,1,1,100000000,610000000813,
89,,Spine,2,5,Image 1,1,1,100000000,610000000815,
44,,Spine,2,1,Image 1,2,1,100000002,610000000820,
52,,Spine,2,1,Image 1,2,1,100000002,610000000822,
79,,Spine,2,1,Image 1,2,1,100000002,610000000829,
95,,Spine,2,1,Image 1,2,1,100000002,610000000833,
22,,Spine,2,5,Image 1,1,1,100000000,610000000839,
47,,Spine,2,5,Image 1,1,1,100000000,610000000840,
89,,Spine,2,5,Image 1,2,1,100000000,610000000841,
34,,Spine,2,4,Image 1,1,1,100000000,610000000842,
37,,Spine,2,3,Image 1,1,1,100000000,610000000843,
50,,Spine,2,3,Image 1,1,1,100000000,610000000844,
67,,Spine,2,2,Image 1,1,1,100000000,610000000845,
56,,Spine,2,0,Image 1,1,1,100000002,610000000888,
73,,Spine,2,2,Image 1,1,1,100000002,610000000889,
40,,Spine,2,3,Image 1,3,1,100000002,610000000890,
60,,Spine,2,2,Image 1,1,1,100000002,610000000891,
61,,Spine,2,1,Image 1,2,1,100000002,610000000892,
81,,Spine,2,1,Image 1,2,1,100000002,610000000893,
51,,Spine,2,0,Image 1,1,1,100000002,610000000894,
46,,Spine,2,1,Image 1,2,1,100000004,610000000903,
28,,Spine,2,1,Image 1,2,1,100000005,610000000904,
24,,Spine,2,1,Image 1,2,1,100000006,610000000911,
