
Soma Intensity Sum Ch=1 Img=1
 ==================== 
Soma Intensity Sum,Unit,Category,Channel,Image,Time,FilamentID,ID,
22563,,Soma,1,Image 1,1,100000000,800000000,
22483,,Soma,1,Image 1,1,100000002,800000102,
