
Soma Intensity Sum of Square Ch=5 Img=1
 ==================== 
Soma Intensity Sum of Square,Unit,Category,Channel,Image,Time,FilamentID,ID,
97149,,Soma,5,Image 1,1,100000000,800000000,
73571,,Soma,5,Image 1,1,100000002,800000102,
