
Soma Intensity Min Ch=5 Img=1
 ==================== 
Soma Intensity Min,Unit,Category,Channel,Image,Time,FilamentID,ID,
0,,Soma,5,Image 1,1,100000000,800000000,
0,,Soma,5,Image 1,1,100000002,800000102,
