
Overall
 ==================== 
Variable,Value,Unit,Image,Time,ID,
Filament Number of Filaments per Time Point,5,,,1,,
Filament Number of Tracks,0,,,,,
Filament Total Number of Filaments,5,,,,,
Pt Number of Tracks,0,,,,,
Pt Total Number of Points,91,,,,,
Soma Number of Disconnected Components per Time Point,2,,,1,,
Soma Number of Somas per Time Point,2,,,1,,
Soma Number of Tracks,0,,,,,
Soma Total Number of Disconnected Components,2,,,,,
Soma Total Number of Somas,2,,,,,
Soma Total Number of Triangles,15496,,,,,
Soma Total Number of Voxels,14028,,Image 1,,,
