
Segment Time Index
 ==================== 
Segment Time Index,Unit,Category,Depth,Level,Time,FilamentID,ID,
1,,Segment,,,1,100000006,510000000003,
1,,Segment,,,1,100000006,510000000006,
1,,Segment,,,1,100000006,510000000009,
1,,Segment,,,1,100000006,510000000015,
1,,Segment,,,1,100000006,510000000021,
1,,Segment,0,1,1,100000002,510000000185,
1,,Segment,,,1,100000006,510000000200,
1,,Segment,,,1,100000006,510000000208,
1,,Segment,,,1,100000006,510000000222,
1,,Segment,5,1,1,100000000,510000000331,
1,,Segment,4,1,1,100000000,510000000342,
1,,Segment,3,1,1,100000000,510000000370,
1,,Segment,2,1,1,100000000,510000000387,
1,,Segment,1,1,1,100000000,510000000401,
1,,Segment,0,1,1,100000000,510000000421,
1,,Segment,5,2,1,100000000,510000000439,
1,,Segment,4,2,1,100000000,510000000442,
1,,Segment,3,2,1,100000000,510000000448,
1,,Segment,0,1,1,100000002,510000000488,
1,,Segment,2,1,1,100000002,510000000528,
1,,Segment,1,1,1,100000002,510000000537,
1,,Segment,0,1,1,100000002,510000000545,
1,,Segment,1,2,1,100000002,510000000575,
1,,Segment,2,2,1,100000000,510000000578,
1,,Segment,3,3,1,100000002,510000000582,
1,,Segment,3,2,1,100000002,510000000585,
1,,Segment,0,1,1,100000000,510000000601,
1,,Segment,1,2,1,100000000,510000000631,
1,,Segment,0,1,1,100000000,510000000687,
1,,Segment,2,2,1,100000002,510000000883,
1,,Segment,,,1,100000006,510000000910,
