
Soma Intensity Median Ch=2 Img=1
 ==================== 
Soma Intensity Median,Unit,Category,Channel,Image,Time,FilamentID,ID,
31.0312,,Soma,2,Image 1,1,100000000,800000000,
30.0312,,Soma,2,Image 1,1,100000002,800000102,
