
Spine Position Z
 ==================== 
Spine Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1419.05,µm,Spine,Spine Position,5,1,1,100000000,610000000776,
1416.51,µm,Spine,Spine Position,1,2,1,100000002,610000000778,
1419.03,µm,Spine,Spine Position,3,1,1,100000000,610000000783,
1418.75,µm,Spine,Spine Position,1,1,1,100000000,610000000785,
1418.89,µm,Spine,Spine Position,,,1,100000006,610000000790,
1418.72,µm,Spine,Spine Position,,,1,100000006,610000000794,
1418.74,µm,Spine,Spine Position,3,1,1,100000000,610000000797,
1417.34,µm,Spine,Spine Position,5,1,1,100000000,610000000800,
1418.98,µm,Spine,Spine Position,,,1,100000006,610000000806,
1417.4,µm,Spine,Spine Position,5,1,1,100000000,610000000808,
1418.27,µm,Spine,Spine Position,5,1,1,100000000,610000000811,
1417.29,µm,Spine,Spine Position,5,1,1,100000000,610000000813,
1417.63,µm,Spine,Spine Position,5,1,1,100000000,610000000815,
1418.94,µm,Spine,Spine Position,0,1,1,100000002,610000000820,
1420.04,µm,Spine,Spine Position,0,1,1,100000002,610000000822,
1419.87,µm,Spine,Spine Position,0,1,1,100000002,610000000829,
1418.67,µm,Spine,Spine Position,0,1,1,100000002,610000000833,
1416.54,µm,Spine,Spine Position,5,1,1,100000000,610000000839,
1417.27,µm,Spine,Spine Position,5,1,1,100000000,610000000840,
1417.61,µm,Spine,Spine Position,5,2,1,100000000,610000000841,
1418.43,µm,Spine,Spine Position,4,1,1,100000000,610000000842,
1419.02,µm,Spine,Spine Position,3,1,1,100000000,610000000843,
1419.03,µm,Spine,Spine Position,3,1,1,100000000,610000000844,
1418.88,µm,Spine,Spine Position,2,1,1,100000000,610000000845,
1416.04,µm,Spine,Spine Position,0,1,1,100000002,610000000888,
1416.36,µm,Spine,Spine Position,2,1,1,100000002,610000000889,
1416.94,µm,Spine,Spine Position,3,3,1,100000002,610000000890,
1416.61,µm,Spine,Spine Position,2,1,1,100000002,610000000891,
1416.5,µm,Spine,Spine Position,1,2,1,100000002,610000000892,
1416.72,µm,Spine,Spine Position,1,2,1,100000002,610000000893,
1417.56,µm,Spine,Spine Position,0,1,1,100000002,610000000894,
1419.47,µm,Spine,Spine Position,,,1,100000004,610000000903,
1420.17,µm,Spine,Spine Position,,,1,100000005,610000000904,
1418.69,µm,Spine,Spine Position,,,1,100000006,610000000911,
