
Soma Intensity Max Ch=4 Img=1
 ==================== 
Soma Intensity Max,Unit,Category,Channel,Image,Time,FilamentID,ID,
120,,Soma,4,Image 1,1,100000000,800000000,
106,,Soma,4,Image 1,1,100000002,800000102,
