
Segment Center Number of Voxel Ch=4 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
4,,Segment,4,0,Image 1,1,1,100000006,510000000003,
4,,Segment,4,0,Image 1,1,1,100000006,510000000006,
7,,Segment,4,0,Image 1,1,1,100000006,510000000009,
7,,Segment,4,0,Image 1,1,1,100000006,510000000015,
41,,Segment,4,0,Image 1,1,1,100000006,510000000021,
2,,Segment,4,0,Image 1,1,1,100000002,510000000185,
12,,Segment,4,0,Image 1,1,1,100000006,510000000200,
5,,Segment,4,0,Image 1,1,1,100000006,510000000208,
3,,Segment,4,0,Image 1,1,1,100000006,510000000222,
46,,Segment,4,5,Image 1,1,1,100000000,510000000331,
12,,Segment,4,4,Image 1,1,1,100000000,510000000342,
29,,Segment,4,3,Image 1,1,1,100000000,510000000370,
18,,Segment,4,2,Image 1,1,1,100000000,510000000387,
15,,Segment,4,1,Image 1,1,1,100000000,510000000401,
6,,Segment,4,0,Image 1,1,1,100000000,510000000421,
18,,Segment,4,5,Image 1,2,1,100000000,510000000439,
3,,Segment,4,4,Image 1,2,1,100000000,510000000442,
7,,Segment,4,3,Image 1,2,1,100000000,510000000448,
41,,Segment,4,0,Image 1,1,1,100000002,510000000488,
23,,Segment,4,2,Image 1,1,1,100000002,510000000528,
10,,Segment,4,1,Image 1,1,1,100000002,510000000537,
9,,Segment,4,0,Image 1,1,1,100000002,510000000545,
31,,Segment,4,1,Image 1,2,1,100000002,510000000575,
4,,Segment,4,2,Image 1,2,1,100000000,510000000578,
5,,Segment,4,3,Image 1,3,1,100000002,510000000582,
3,,Segment,4,3,Image 1,2,1,100000002,510000000585,
2,,Segment,4,0,Image 1,1,1,100000000,510000000601,
10,,Segment,4,1,Image 1,2,1,100000000,510000000631,
3,,Segment,4,0,Image 1,1,1,100000000,510000000687,
2,,Segment,4,2,Image 1,2,1,100000002,510000000883,
2,,Segment,4,0,Image 1,1,1,100000006,510000000910,
