
Spine Part Volume Head
 ==================== 
Spine Part Volume Head,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.359887,µm^3,Spine,Spine Part Volume,5,1,1,100000000,610000000776,
0.00379142,µm^3,Spine,Spine Part Volume,1,2,1,100000002,610000000778,
0.00112339,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000000783,
0.00179809,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000000785,
0.00153824,µm^3,Spine,Spine Part Volume,,,1,100000006,610000000790,
0.00112339,µm^3,Spine,Spine Part Volume,,,1,100000006,610000000794,
0.00553535,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000000797,
0.00183818,µm^3,Spine,Spine Part Volume,5,1,1,100000000,610000000800,
0.00454873,µm^3,Spine,Spine Part Volume,,,1,100000006,610000000806,
0.00347675,µm^3,Spine,Spine Part Volume,5,1,1,100000000,610000000808,
0.0252136,µm^3,Spine,Spine Part Volume,5,1,1,100000000,610000000811,
0.0166219,µm^3,Spine,Spine Part Volume,5,1,1,100000000,610000000813,
0.00186838,µm^3,Spine,Spine Part Volume,5,1,1,100000000,610000000815,
0.0431878,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000000820,
0.14283,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000000822,
0.00756439,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000000829,
0.0177251,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000000833,
0.00112339,µm^3,Spine,Spine Part Volume,5,1,1,100000000,610000000839,
0.00410774,µm^3,Spine,Spine Part Volume,5,1,1,100000000,610000000840,
0.00112339,µm^3,Spine,Spine Part Volume,5,2,1,100000000,610000000841,
0.00713874,µm^3,Spine,Spine Part Volume,4,1,1,100000000,610000000842,
0.00609971,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000000843,
0.00414912,µm^3,Spine,Spine Part Volume,3,1,1,100000000,610000000844,
0.00112339,µm^3,Spine,Spine Part Volume,2,1,1,100000000,610000000845,
0.00112339,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000000888,
0.00986284,µm^3,Spine,Spine Part Volume,2,1,1,100000002,610000000889,
0.00295909,µm^3,Spine,Spine Part Volume,3,3,1,100000002,610000000890,
0.00623978,µm^3,Spine,Spine Part Volume,2,1,1,100000002,610000000891,
0.00565128,µm^3,Spine,Spine Part Volume,1,2,1,100000002,610000000892,
0.025486,µm^3,Spine,Spine Part Volume,1,2,1,100000002,610000000893,
0.0155705,µm^3,Spine,Spine Part Volume,0,1,1,100000002,610000000894,
0.00964617,µm^3,Spine,Spine Part Volume,,,1,100000004,610000000903,
0.00229308,µm^3,Spine,Spine Part Volume,,,1,100000005,610000000904,
0.00394851,µm^3,Spine,Spine Part Volume,,,1,100000006,610000000911,
