
Intensity Sum of Square Ch=3 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,All touching neurons,ID,
4.64609e+06,,Surface,3,Image 1,1,Class A,0,
7.50507e+06,,Surface,3,Image 1,1,Class A,1,
2.73971e+06,,Surface,3,Image 1,1,Class A,57,
1.99276e+06,,Surface,3,Image 1,1,Class A,81,
1.90632e+06,,Surface,3,Image 1,1,Class A,103,
