
Intensity Sum Ch=4 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,All touching neurons,ID,
55771,,Surface,4,Image 1,1,Class A,0,
60437,,Surface,4,Image 1,1,Class A,1,
23439,,Surface,4,Image 1,1,Class A,57,
59132,,Surface,4,Image 1,1,Class A,81,
25868,,Surface,4,Image 1,1,Class A,103,
