
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.2775,921.667,µm^3,Cumulative Volume Outside,Image 1,1,,
0.8325,2554.63,µm^3,Cumulative Volume Outside,Image 1,1,,
1.3875,5071.36,µm^3,Cumulative Volume Outside,Image 1,1,,
1.9425,8532.65,µm^3,Cumulative Volume Outside,Image 1,1,,
2.4975,13000.1,µm^3,Cumulative Volume Outside,Image 1,1,,
3.0525,18387.9,µm^3,Cumulative Volume Outside,Image 1,1,,
3.6075,24647.7,µm^3,Cumulative Volume Outside,Image 1,1,,
4.1625,31681.8,µm^3,Cumulative Volume Outside,Image 1,1,,
4.7175,39392.4,µm^3,Cumulative Volume Outside,Image 1,1,,
5.2725,47753.5,µm^3,Cumulative Volume Outside,Image 1,1,,
5.8275,56553.4,µm^3,Cumulative Volume Outside,Image 1,1,,
6.3825,65696.4,µm^3,Cumulative Volume Outside,Image 1,1,,
6.9375,75128.6,µm^3,Cumulative Volume Outside,Image 1,1,,
7.4925,84755.2,µm^3,Cumulative Volume Outside,Image 1,1,,
8.0475,94490.6,µm^3,Cumulative Volume Outside,Image 1,1,,
8.6025,104310,µm^3,Cumulative Volume Outside,Image 1,1,,
9.1575,114139,µm^3,Cumulative Volume Outside,Image 1,1,,
9.7125,123991,µm^3,Cumulative Volume Outside,Image 1,1,,
10.2675,133811,µm^3,Cumulative Volume Outside,Image 1,1,,
10.8225,143556,µm^3,Cumulative Volume Outside,Image 1,1,,
11.3775,153184,µm^3,Cumulative Volume Outside,Image 1,1,,
11.9325,162680,µm^3,Cumulative Volume Outside,Image 1,1,,
12.4875,171996,µm^3,Cumulative Volume Outside,Image 1,1,,
13.0425,181093,µm^3,Cumulative Volume Outside,Image 1,1,,
13.5975,189976,µm^3,Cumulative Volume Outside,Image 1,1,,
14.1525,198616,µm^3,Cumulative Volume Outside,Image 1,1,,
14.7075,206876,µm^3,Cumulative Volume Outside,Image 1,1,,
15.2625,214743,µm^3,Cumulative Volume Outside,Image 1,1,,
15.8175,222181,µm^3,Cumulative Volume Outside,Image 1,1,,
16.3725,229153,µm^3,Cumulative Volume Outside,Image 1,1,,
16.9275,235733,µm^3,Cumulative Volume Outside,Image 1,1,,
17.4825,241874,µm^3,Cumulative Volume Outside,Image 1,1,,
18.0375,247581,µm^3,Cumulative Volume Outside,Image 1,1,,
