
Filament Segment Length (sum)
 ==================== 
Filament Segment Length (sum),Unit,Category,Time,ID,
293.506,µm,Filament,1,100000000,
796.585,µm,Filament,1,100000001,
547.088,µm,Filament,1,100000002,
402.154,µm,Filament,1,100000003,
266.94,µm,Filament,1,100000004,
