
Soma Center of Image Mass Ch=3 Img=1
 ==================== 
Soma Center of Image Mass X,Soma Center of Image Mass Y,Soma Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,FilamentID,ID,
-16394.5,24505.5,1392.82,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000000,800000000,
-16440.7,24513.9,1395.21,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000001,800000001,
-16502.5,24459,1402.22,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000002,800000002,
-16398,24474.6,1408.42,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000003,800000003,
-16498.2,24553.2,1388.86,µm,Soma,3,Soma Center of Image Mass,Image 1,1,100000004,800000004,
