
Segment Intensity Mean Ch=4 Img=1
 ==================== 
Segment Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,4,0,Image 1,1,1,100000003,510000000836,
0.578059,,Segment,4,8,Image 1,6,1,100000003,510000000865,
5.06915,,Segment,4,7,Image 1,5,1,100000003,510000000883,
1.18421,,Segment,4,6,Image 1,5,1,100000003,510000000907,
0,,Segment,4,5,Image 1,4,1,100000003,510000000930,
1.07595,,Segment,4,4,Image 1,3,1,100000003,510000000954,
0.415094,,Segment,4,3,Image 1,2,1,100000003,510000000957,
0.0626478,,Segment,4,2,Image 1,1,1,100000003,510000000973,
2.92857,,Segment,4,1,Image 1,1,1,100000003,510000000981,
0.212121,,Segment,4,0,Image 1,1,1,100000003,510000000988,
0,,Segment,4,8,Image 1,5,1,100000003,510000001002,
2.9403,,Segment,4,7,Image 1,6,1,100000003,510000001008,
0.971631,,Segment,4,7,Image 1,4,1,100000003,510000001012,
0.0582011,,Segment,4,6,Image 1,4,1,100000003,510000001015,
3.63743,,Segment,4,7,Image 1,5,1,100000003,510000001020,
0,,Segment,4,4,Image 1,4,1,100000001,510000001042,
2.45016,,Segment,4,3,Image 1,3,1,100000001,510000001097,
0,,Segment,4,2,Image 1,2,1,100000001,510000001106,
0,,Segment,4,4,Image 1,3,1,100000001,510000001108,
0,,Segment,4,1,Image 1,2,1,100000004,510000001126,
0,,Segment,4,0,Image 1,1,1,100000004,510000001143,
1.05029,,Segment,4,19,Image 1,9,1,100000001,510000001187,
0,,Segment,4,18,Image 1,8,1,100000001,510000001194,
0.49187,,Segment,4,17,Image 1,8,1,100000001,510000001220,
14.1478,,Segment,4,16,Image 1,7,1,100000001,510000001226,
3.19245,,Segment,4,15,Image 1,7,1,100000001,510000001240,
0,,Segment,4,14,Image 1,7,1,100000001,510000001252,
0,,Segment,4,13,Image 1,7,1,100000001,510000001316,
0,,Segment,4,12,Image 1,7,1,100000001,510000001326,
0,,Segment,4,11,Image 1,6,1,100000001,510000001337,
0,,Segment,4,10,Image 1,5,1,100000001,510000001382,
0,,Segment,4,9,Image 1,4,1,100000001,510000001390,
0,,Segment,4,8,Image 1,3,1,100000001,510000001399,
0,,Segment,4,6,Image 1,3,1,100000001,510000001406,
0,,Segment,4,5,Image 1,2,1,100000001,510000001410,
0,,Segment,4,4,Image 1,2,1,100000001,510000001426,
0,,Segment,4,3,Image 1,2,1,100000001,510000001437,
0,,Segment,4,2,Image 1,2,1,100000001,510000001453,
0,,Segment,4,0,Image 1,1,1,100000001,510000001473,
0,,Segment,4,18,Image 1,9,1,100000001,510000001513,
0,,Segment,4,19,Image 1,8,1,100000001,510000001516,
20.8268,,Segment,4,17,Image 1,7,1,100000001,510000001522,
0,,Segment,4,16,Image 1,8,1,100000001,510000001547,
0,,Segment,4,15,Image 1,8,1,100000001,510000001550,
0,,Segment,4,14,Image 1,8,1,100000001,510000001554,
58.3919,,Segment,4,16,Image 1,8,1,100000001,510000001556,
