
Soma Ellipsoid Axis C Z
 ==================== 
Soma Ellipsoid Axis C Z,Unit,Category,Collection,Time,FilamentID,ID,
0.498443,µm,Soma,Soma Ellipsoid Axis C,1,100000000,800000000,
0.304266,µm,Soma,Soma Ellipsoid Axis C,1,100000001,800000001,
0.563951,µm,Soma,Soma Ellipsoid Axis C,1,100000002,800000002,
-0.0543629,µm,Soma,Soma Ellipsoid Axis C,1,100000003,800000003,
0.130822,µm,Soma,Soma Ellipsoid Axis C,1,100000004,800000004,
