
Filament Length (sum)
 ==================== 
Filament Length (sum),Unit,Category,Time,ID,
360.436,µm,Filament,1,100000000,
911.455,µm,Filament,1,100000001,
637.236,µm,Filament,1,100000002,
459.376,µm,Filament,1,100000003,
302.491,µm,Filament,1,100000004,
