
Filament No. Segment Terminal Pts
 ==================== 
Filament No. Segment Terminal Pts,Unit,Category,Time,ID,
41,,Filament,1,100000000,
118,,Filament,1,100000001,
79,,Filament,1,100000002,
56,,Filament,1,100000003,
33,,Filament,1,100000004,
