
Spine Neck Min Diameter
 ==================== 
Spine Neck Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.416667,µm,Spine,0,1,1,100000000,610000007722,
0.416667,µm,Spine,10,5,1,100000002,610000007736,
0.416667,µm,Spine,10,5,1,100000002,610000007746,
0.416667,µm,Spine,1,1,1,100000000,610000007754,
0.416667,µm,Spine,2,2,1,100000000,610000007759,
0.625,µm,Spine,4,2,1,100000004,610000007765,
0.73951,µm,Spine,4,2,1,100000004,610000007769,
0.513342,µm,Spine,4,2,1,100000004,610000007773,
0.521018,µm,Spine,2,2,1,100000004,610000007787,
0.475766,µm,Spine,10,2,1,100000003,610000007795,
0.428059,µm,Spine,10,6,1,100000003,610000007798,
0.521018,µm,Spine,2,2,1,100000004,610000007811,
0.590181,µm,Spine,2,2,1,100000002,610000007816,
0.475766,µm,Spine,10,2,1,100000003,610000007823,
0.590181,µm,Spine,2,2,1,100000002,610000007826,
0.667769,µm,Spine,3,1,1,100000002,610000007831,
0.667769,µm,Spine,3,1,1,100000002,610000007835,
0.470927,µm,Spine,9,4,1,100000002,610000007838,
0.751426,µm,Spine,10,5,1,100000001,610000007843,
0.427026,µm,Spine,10,4,1,100000003,610000007846,
0.747369,µm,Spine,4,3,1,100000003,610000007850,
0.481078,µm,Spine,0,1,1,100000001,610000007859,
0.888355,µm,Spine,1,1,1,100000002,610000007863,
1.22396,µm,Spine,3,2,1,100000000,610000007865,
0.651507,µm,Spine,12,4,1,100000002,610000007868,
0.501302,µm,Spine,6,3,1,100000000,610000007872,
0.416667,µm,Spine,1,1,1,100000000,610000007881,
0.625,µm,Spine,2,2,1,100000004,610000007885,
0.625,µm,Spine,18,4,1,100000003,610000007888,
0.658471,µm,Spine,5,3,1,100000002,610000007892,
0.948801,µm,Spine,3,1,1,100000001,610000007894,
0.611979,µm,Spine,12,7,1,100000003,610000007899,
0.769857,µm,Spine,3,1,1,100000001,610000007902,
0,µm,Spine,7,3,1,100000001,610000007904,
0.703125,µm,Spine,3,2,1,100000002,610000007909,
