
Spine Time
 ==================== 
Spine Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Spine,2,2,1,100000002,610000006132,
0,s,Spine,13,7,1,100000003,610000006143,
0,s,Spine,3,3,1,100000002,610000006150,
0,s,Spine,1,1,1,100000002,610000006156,
0,s,Spine,5,2,1,100000002,610000006164,
0,s,Spine,5,2,1,100000002,610000006171,
0,s,Spine,3,4,1,100000001,610000006174,
0,s,Spine,0,1,1,100000001,610000006182,
0,s,Spine,14,8,1,100000001,610000006193,
0,s,Spine,14,8,1,100000001,610000006203,
0,s,Spine,10,6,1,100000003,610000006211,
0,s,Spine,1,1,1,100000002,610000006219,
0,s,Spine,1,2,1,100000003,610000006225,
0,s,Spine,14,8,1,100000001,610000006228,
0,s,Spine,12,4,1,100000003,610000006235,
0,s,Spine,12,4,1,100000003,610000006241,
0,s,Spine,12,4,1,100000003,610000006245,
0,s,Spine,0,1,1,100000003,610000006259,
0,s,Spine,20,10,1,100000001,610000006264,
0,s,Spine,20,10,1,100000001,610000006266,
0,s,Spine,15,7,1,100000001,610000006269,
0,s,Spine,17,4,1,100000003,610000006274,
0,s,Spine,6,4,1,100000003,610000006279,
0,s,Spine,3,3,1,100000003,610000006283,
0,s,Spine,13,4,1,100000003,610000006286,
0,s,Spine,4,4,1,100000003,610000006291,
0,s,Spine,0,1,1,100000003,610000006301,
0,s,Spine,20,8,1,100000001,610000006309,
0,s,Spine,2,2,1,100000003,610000006312,
0,s,Spine,17,9,1,100000001,610000006316,
0,s,Spine,19,6,1,100000003,610000006321,
0,s,Spine,0,1,1,100000003,610000006326,
0,s,Spine,0,1,1,100000001,610000006331,
0,s,Spine,22,10,1,100000001,610000006335,
0,s,Spine,6,4,1,100000003,610000006342,
0,s,Spine,4,4,1,100000003,610000006345,
0,s,Spine,0,1,1,100000001,610000006350,
0,s,Spine,17,4,1,100000003,610000006354,
0,s,Spine,0,1,1,100000003,610000006361,
0,s,Spine,0,1,1,100000001,610000006369,
0,s,Spine,20,8,1,100000001,610000006376,
0,s,Spine,0,1,1,100000001,610000006381,
0,s,Spine,0,1,1,100000003,610000006385,
0,s,Spine,22,10,1,100000001,610000006388,
0,s,Spine,0,1,1,100000001,610000006392,
0,s,Spine,20,10,1,100000001,610000006397,
0,s,Spine,1,1,1,100000003,610000006401,
0,s,Spine,0,1,1,100000001,610000006407,
0,s,Spine,0,1,1,100000003,610000006410,
0,s,Spine,0,1,1,100000001,610000006416,
0,s,Spine,0,1,1,100000001,610000006420,
0,s,Spine,13,4,1,100000003,610000006422,
0,s,Spine,0,1,1,100000003,610000006426,
0,s,Spine,6,4,1,100000003,610000006430,
0,s,Spine,0,1,1,100000001,610000006436,
0,s,Spine,4,4,1,100000003,610000006441,
0,s,Spine,0,1,1,100000002,610000006446,
0,s,Spine,9,1,1,100000003,610000006449,
0,s,Spine,10,7,1,100000003,610000006453,
0,s,Spine,0,1,1,100000002,610000006457,
0,s,Spine,2,2,1,100000002,610000006462,
0,s,Spine,8,5,1,100000003,610000006464,
0,s,Spine,0,1,1,100000003,610000006468,
0,s,Spine,2,2,1,100000002,610000006472,
0,s,Spine,18,7,1,100000001,610000006474,
0,s,Spine,2,2,1,100000002,610000006480,
0,s,Spine,6,4,1,100000003,610000006484,
0,s,Spine,0,1,1,100000001,610000006486,
0,s,Spine,2,1,1,100000003,610000006488,
0,s,Spine,0,1,1,100000001,610000006491,
0,s,Spine,0,1,1,100000001,610000006496,
0,s,Spine,0,1,1,100000001,610000006499,
0,s,Spine,0,1,1,100000001,610000006506,
0,s,Spine,2,2,1,100000002,610000006511,
0,s,Spine,1,1,1,100000002,610000006513,
0,s,Spine,0,1,1,100000003,610000006516,
0,s,Spine,10,6,1,100000003,610000006518,
0,s,Spine,2,2,1,100000002,610000006521,
0,s,Spine,0,1,1,100000002,610000006526,
0,s,Spine,2,1,1,100000003,610000006529,
0,s,Spine,15,7,1,100000001,610000006532,
0,s,Spine,0,1,1,100000003,610000006535,
0,s,Spine,0,1,1,100000002,610000006539,
0,s,Spine,19,6,1,100000003,610000006542,
0,s,Spine,0,1,1,100000001,610000006547,
0,s,Spine,0,1,1,100000002,610000006550,
0,s,Spine,18,11,1,100000001,610000006552,
0,s,Spine,0,1,1,100000001,610000006555,
0,s,Spine,0,1,1,100000003,610000006558,
0,s,Spine,19,6,1,100000003,610000006560,
0,s,Spine,0,1,1,100000001,610000006565,
0,s,Spine,0,1,1,100000003,610000006570,
0,s,Spine,0,1,1,100000003,610000006573,
0,s,Spine,0,1,1,100000001,610000006575,
0,s,Spine,19,6,1,100000003,610000006581,
0,s,Spine,1,1,1,100000003,610000006584,
0,s,Spine,4,3,1,100000003,610000006588,
0,s,Spine,14,6,1,100000001,610000006591,
