
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-9.6775,909.264,µm^3,Cumulative Volume,Image 1,1,,
-9.1245,3095.88,µm^3,Cumulative Volume,Image 1,1,,
-8.5715,5826.21,µm^3,Cumulative Volume,Image 1,1,,
-8.0185,8994.46,µm^3,Cumulative Volume,Image 1,1,,
-7.4655,12668.4,µm^3,Cumulative Volume,Image 1,1,,
-6.9125,16903.9,µm^3,Cumulative Volume,Image 1,1,,
-6.3595,21816,µm^3,Cumulative Volume,Image 1,1,,
-5.8065,27697.1,µm^3,Cumulative Volume,Image 1,1,,
-5.2535,34710.2,µm^3,Cumulative Volume,Image 1,1,,
-4.7005,41760.7,µm^3,Cumulative Volume,Image 1,1,,
-4.1475,49010.5,µm^3,Cumulative Volume,Image 1,1,,
-3.5945,56753.6,µm^3,Cumulative Volume,Image 1,1,,
-3.0415,65073.9,µm^3,Cumulative Volume,Image 1,1,,
-2.4885,74009.1,µm^3,Cumulative Volume,Image 1,1,,
-1.9355,83501.9,µm^3,Cumulative Volume,Image 1,1,,
-1.3825,93545.1,µm^3,Cumulative Volume,Image 1,1,,
-0.8295,103921,µm^3,Cumulative Volume,Image 1,1,,
-0.2765,114147,µm^3,Cumulative Volume,Image 1,1,,
0.2765,123518,µm^3,Cumulative Volume,Image 1,1,,
0.8295,131227,µm^3,Cumulative Volume,Image 1,1,,
1.3825,138095,µm^3,Cumulative Volume,Image 1,1,,
1.9355,144566,µm^3,Cumulative Volume,Image 1,1,,
2.4885,150815,µm^3,Cumulative Volume,Image 1,1,,
3.0415,156802,µm^3,Cumulative Volume,Image 1,1,,
3.5945,162527,µm^3,Cumulative Volume,Image 1,1,,
4.1475,167976,µm^3,Cumulative Volume,Image 1,1,,
4.7005,173216,µm^3,Cumulative Volume,Image 1,1,,
5.2535,178218,µm^3,Cumulative Volume,Image 1,1,,
5.8065,183004,µm^3,Cumulative Volume,Image 1,1,,
6.3595,187557,µm^3,Cumulative Volume,Image 1,1,,
6.9125,191904,µm^3,Cumulative Volume,Image 1,1,,
7.4655,196041,µm^3,Cumulative Volume,Image 1,1,,
8.0185,199975,µm^3,Cumulative Volume,Image 1,1,,
8.5715,203728,µm^3,Cumulative Volume,Image 1,1,,
9.1245,207342,µm^3,Cumulative Volume,Image 1,1,,
9.6775,210788,µm^3,Cumulative Volume,Image 1,1,,
10.2305,214085,µm^3,Cumulative Volume,Image 1,1,,
10.7835,217284,µm^3,Cumulative Volume,Image 1,1,,
11.3365,220396,µm^3,Cumulative Volume,Image 1,1,,
11.8895,223425,µm^3,Cumulative Volume,Image 1,1,,
12.4425,226354,µm^3,Cumulative Volume,Image 1,1,,
12.9955,229189,µm^3,Cumulative Volume,Image 1,1,,
13.5485,231960,µm^3,Cumulative Volume,Image 1,1,,
14.1015,234665,µm^3,Cumulative Volume,Image 1,1,,
14.6545,237307,µm^3,Cumulative Volume,Image 1,1,,
15.2075,239866,µm^3,Cumulative Volume,Image 1,1,,
15.7605,242361,µm^3,Cumulative Volume,Image 1,1,,
16.3135,244786,µm^3,Cumulative Volume,Image 1,1,,
16.8665,247156,µm^3,Cumulative Volume,Image 1,1,,
17.4195,249452,µm^3,Cumulative Volume,Image 1,1,,
17.9725,251691,µm^3,Cumulative Volume,Image 1,1,,
18.5255,253876,µm^3,Cumulative Volume,Image 1,1,,
19.0785,255996,µm^3,Cumulative Volume,Image 1,1,,
19.6315,258062,µm^3,Cumulative Volume,Image 1,1,,
20.1845,260061,µm^3,Cumulative Volume,Image 1,1,,
20.7375,262007,µm^3,Cumulative Volume,Image 1,1,,
21.2905,263907,µm^3,Cumulative Volume,Image 1,1,,
21.8435,265742,µm^3,Cumulative Volume,Image 1,1,,
22.3965,267525,µm^3,Cumulative Volume,Image 1,1,,
22.9495,269246,µm^3,Cumulative Volume,Image 1,1,,
23.5025,270912,µm^3,Cumulative Volume,Image 1,1,,
24.0555,272532,µm^3,Cumulative Volume,Image 1,1,,
24.6085,274095,µm^3,Cumulative Volume,Image 1,1,,
25.1615,275607,µm^3,Cumulative Volume,Image 1,1,,
25.7145,277058,µm^3,Cumulative Volume,Image 1,1,,
26.2675,278458,µm^3,Cumulative Volume,Image 1,1,,
26.8205,279816,µm^3,Cumulative Volume,Image 1,1,,
27.3735,281111,µm^3,Cumulative Volume,Image 1,1,,
27.9265,282349,µm^3,Cumulative Volume,Image 1,1,,
28.4795,283519,µm^3,Cumulative Volume,Image 1,1,,
29.0325,284605,µm^3,Cumulative Volume,Image 1,1,,
29.5855,285605,µm^3,Cumulative Volume,Image 1,1,,
30.1385,286514,µm^3,Cumulative Volume,Image 1,1,,
30.6915,287339,µm^3,Cumulative Volume,Image 1,1,,
31.2445,288093,µm^3,Cumulative Volume,Image 1,1,,
31.7975,288772,µm^3,Cumulative Volume,Image 1,1,,
32.3505,289383,µm^3,Cumulative Volume,Image 1,1,,
32.9035,289928,µm^3,Cumulative Volume,Image 1,1,,
33.4565,290430,µm^3,Cumulative Volume,Image 1,1,,
34.0095,290890,µm^3,Cumulative Volume,Image 1,1,,
34.5625,291311,µm^3,Cumulative Volume,Image 1,1,,
35.1155,291711,µm^3,Cumulative Volume,Image 1,1,,
35.6685,292089,µm^3,Cumulative Volume,Image 1,1,,
36.2215,292446,µm^3,Cumulative Volume,Image 1,1,,
36.7745,292792,µm^3,Cumulative Volume,Image 1,1,,
37.3275,293128,µm^3,Cumulative Volume,Image 1,1,,
37.8805,293451,µm^3,Cumulative Volume,Image 1,1,,
