
Spine Terminal Pt Intensity Center Ch=3 Img=1
 ==================== 
Spine Terminal Pt Intensity Center,Unit,Category,Channel,Depth,Image,Time,FilamentID,ID,
98,,Spine,3,8,Image 1,1,100000003,610000006658,
88,,Spine,3,6,Image 1,1,100000001,610000006665,
162,,Spine,3,0,Image 1,1,100000002,610000006667,
103,,Spine,3,6,Image 1,1,100000003,610000006669,
105,,Spine,3,6,Image 1,1,100000003,610000006671,
169,,Spine,3,5,Image 1,1,100000003,610000006676,
129,,Spine,3,1,Image 1,1,100000001,610000006684,
106,,Spine,3,2,Image 1,1,100000002,610000006687,
99,,Spine,3,2,Image 1,1,100000002,610000006689,
132,,Spine,3,0,Image 1,1,,610000006695,
156,,Spine,3,1,Image 1,1,100000002,610000006698,
161,,Spine,3,4,Image 1,1,100000003,610000006706,
115,,Spine,3,1,Image 1,1,100000003,610000006708,
163,,Spine,3,0,Image 1,1,100000003,610000006714,
147,,Spine,3,0,Image 1,1,100000003,610000006716,
179,,Spine,3,0,Image 1,1,100000003,610000006722,
158,,Spine,3,7,Image 1,1,100000003,610000006726,
132,,Spine,3,6,Image 1,1,100000003,610000006729,
171,,Spine,3,0,Image 1,1,100000001,610000006741,
165,,Spine,3,8,Image 1,1,100000003,610000006743,
181,,Spine,3,20,Image 1,1,100000001,610000006746,
137,,Spine,3,7,Image 1,1,100000003,610000006750,
169,,Spine,3,2,Image 1,1,,610000006753,
117,,Spine,3,6,Image 1,1,100000003,610000006759,
80,,Spine,3,1,Image 1,1,,610000006920,
137,,Spine,3,0,Image 1,1,,610000006920,
73,,Spine,3,1,Image 1,1,,610000006921,
148,,Spine,3,0,Image 1,1,,610000006921,
103,,Spine,3,9,Image 1,1,,610000006922,
90,,Spine,3,2,Image 1,1,,610000006922,
132,,Spine,3,0,Image 1,1,,610000006922,
118,,Spine,3,9,Image 1,1,,610000006923,
146,,Spine,3,0,Image 1,1,,610000006923,
111,,Spine,3,4,Image 1,1,,610000006924,
105,,Spine,3,2,Image 1,1,,610000006924,
143,,Spine,3,19,Image 1,1,,610000006924,
45,,Spine,3,7,Image 1,1,,610000006925,
83,,Spine,3,16,Image 1,1,,610000006925,
145,,Spine,3,2,Image 1,1,,610000006925,
156,,Spine,3,5,Image 1,1,,610000006926,
134,,Spine,3,16,Image 1,1,,610000006926,
129,,Spine,3,0,Image 1,1,,610000006926,
158,,Spine,3,0,Image 1,1,,610000006927,
86,,Spine,3,20,Image 1,1,,610000006927,
83,,Spine,3,3,Image 1,1,,610000006928,
105,,Spine,3,2,Image 1,1,,610000006928,
125,,Spine,3,18,Image 1,1,,610000006928,
71,,Spine,3,10,Image 1,1,,610000006929,
136,,Spine,3,1,Image 1,1,,610000006929,
146,,Spine,3,18,Image 1,1,,610000006929,
72,,Spine,3,10,Image 1,1,,610000006930,
133,,Spine,3,15,Image 1,1,,610000006930,
156,,Spine,3,2,Image 1,1,,610000006930,
0,,Spine,3,9,Image 1,1,,610000006931,
161,,Spine,3,13,Image 1,1,,610000006931,
124,,Spine,3,2,Image 1,1,,610000006931,
159,,Spine,3,9,Image 1,1,,610000006932,
155,,Spine,3,13,Image 1,1,,610000006932,
83,,Spine,3,2,Image 1,1,,610000006932,
69,,Spine,3,5,Image 1,1,,610000006933,
75,,Spine,3,12,Image 1,1,,610000006933,
81,,Spine,3,2,Image 1,1,,610000006933,
176,,Spine,3,4,Image 1,1,,610000006934,
87,,Spine,3,14,Image 1,1,,610000006934,
18,,Spine,3,2,Image 1,1,,610000006934,
172,,Spine,3,4,Image 1,1,,610000006935,
70,,Spine,3,2,Image 1,1,,610000006935,
64,,Spine,3,20,Image 1,1,,610000006935,
170,,Spine,3,4,Image 1,1,,610000006936,
169,,Spine,3,2,Image 1,1,,610000006936,
178,,Spine,3,20,Image 1,1,,610000006936,
138,,Spine,3,4,Image 1,1,,610000006937,
73,,Spine,3,19,Image 1,1,,610000006937,
180,,Spine,3,4,Image 1,1,,610000006938,
98,,Spine,3,17,Image 1,1,,610000006938,
180,,Spine,3,5,Image 1,1,,610000006939,
69,,Spine,3,17,Image 1,1,,610000006939,
72,,Spine,3,11,Image 1,1,,610000006940,
100,,Spine,3,18,Image 1,1,,610000006940,
95,,Spine,3,10,Image 1,1,,610000006941,
113,,Spine,3,19,Image 1,1,,610000006941,
119,,Spine,3,10,Image 1,1,,610000006942,
170,,Spine,3,0,Image 1,1,,610000006942,
138,,Spine,3,9,Image 1,1,,610000006943,
162,,Spine,3,0,Image 1,1,,610000006943,
151,,Spine,3,9,Image 1,1,,610000006944,
150,,Spine,3,0,Image 1,1,,610000006944,
120,,Spine,3,8,Image 1,1,,610000006945,
153,,Spine,3,0,Image 1,1,,610000006945,
173,,Spine,3,8,Image 1,1,,610000006946,
151,,Spine,3,0,Image 1,1,,610000006946,
180,,Spine,3,8,Image 1,1,,610000006947,
105,,Spine,3,0,Image 1,1,,610000006947,
161,,Spine,3,7,Image 1,1,,610000006948,
61,,Spine,3,1,Image 1,1,,610000006948,
182,,Spine,3,7,Image 1,1,,610000006949,
136,,Spine,3,0,Image 1,1,,610000006949,
177,,Spine,3,6,Image 1,1,,610000006950,
59,,Spine,3,0,Image 1,1,,610000006950,
147,,Spine,3,6,Image 1,1,,610000006951,
114,,Spine,3,1,Image 1,1,,610000006951,
76,,Spine,3,12,Image 1,1,,610000006952,
141,,Spine,3,1,Image 1,1,,610000006952,
64,,Spine,3,16,Image 1,1,,610000006953,
149,,Spine,3,0,Image 1,1,,610000006953,
75,,Spine,3,0,Image 1,1,,610000006954,
50,,Spine,3,19,Image 1,1,,610000006954,
176,,Spine,3,0,Image 1,1,,610000006955,
128,,Spine,3,19,Image 1,1,,610000006955,
95,,Spine,3,0,Image 1,1,,610000006956,
139,,Spine,3,19,Image 1,1,,610000006956,
128,,Spine,3,2,Image 1,1,,610000006957,
118,,Spine,3,0,Image 1,1,,610000006957,
60,,Spine,3,1,Image 1,1,,610000006958,
20,,Spine,3,0,Image 1,1,,610000006958,
64,,Spine,3,1,Image 1,1,,610000006959,
148,,Spine,3,0,Image 1,1,,610000006960,
96,,Spine,3,0,Image 1,1,,610000006961,
122,,Spine,3,0,Image 1,1,,610000006962,
148,,Spine,3,0,Image 1,1,,610000006963,
95,,Spine,3,0,Image 1,1,,610000006964,
106,,Spine,3,0,Image 1,1,,610000006965,
