
Segment Center Intensity Mean Ch=4 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Segment,4,20,Image 1,12,1,100000001,510000000015,
0,,Segment,4,19,Image 1,11,1,100000001,510000000041,
0,,Segment,4,18,Image 1,10,1,100000001,510000000044,
0,,Segment,4,17,Image 1,10,1,100000001,510000000072,
0,,Segment,4,16,Image 1,9,1,100000001,510000000078,
0,,Segment,4,15,Image 1,9,1,100000001,510000000084,
0,,Segment,4,14,Image 1,8,1,100000001,510000000114,
0,,Segment,4,13,Image 1,8,1,100000001,510000000117,
0,,Segment,4,12,Image 1,7,1,100000001,510000000119,
0,,Segment,4,11,Image 1,6,1,100000001,510000000121,
0,,Segment,4,10,Image 1,5,1,100000001,510000000124,
0,,Segment,4,9,Image 1,4,1,100000001,510000000130,
0,,Segment,4,8,Image 1,4,1,100000001,510000000140,
0,,Segment,4,7,Image 1,4,1,100000001,510000000169,
0,,Segment,4,6,Image 1,4,1,100000001,510000000178,
0,,Segment,4,5,Image 1,4,1,100000001,510000000180,
0.111111,,Segment,4,4,Image 1,4,1,100000001,510000000188,
0.0238095,,Segment,4,3,Image 1,4,1,100000001,510000000229,
0,,Segment,4,2,Image 1,3,1,100000001,510000000286,
0,,Segment,4,1,Image 1,2,1,100000001,510000000313,
0,,Segment,4,0,Image 1,1,1,100000001,510000000348,
0,,Segment,4,21,Image 1,9,1,100000001,510000000391,
0,,Segment,4,20,Image 1,9,1,100000001,510000000401,
0,,Segment,4,19,Image 1,8,1,100000001,510000000414,
0,,Segment,4,18,Image 1,8,1,100000001,510000000416,
0,,Segment,4,16,Image 1,8,1,100000001,510000000421,
0,,Segment,4,15,Image 1,8,1,100000001,510000000424,
0.03125,,Segment,4,9,Image 1,2,1,100000003,510000000455,
0,,Segment,4,8,Image 1,1,1,100000003,510000000464,
0,,Segment,4,7,Image 1,1,1,100000003,510000000466,
0,,Segment,4,6,Image 1,1,1,100000003,510000000470,
0,,Segment,4,5,Image 1,1,1,100000003,510000000479,
0.0344828,,Segment,4,4,Image 1,1,1,100000003,510000000507,
0.0625,,Segment,4,3,Image 1,1,1,100000003,510000000522,
0,,Segment,4,2,Image 1,1,1,100000003,510000000529,
0.0363636,,Segment,4,1,Image 1,1,1,100000003,510000000583,
0,,Segment,4,0,Image 1,1,1,100000003,510000000599,
0,,Segment,4,18,Image 1,10,1,100000001,510000000647,
0,,Segment,4,17,Image 1,9,1,100000001,510000000679,
0,,Segment,4,16,Image 1,8,1,100000001,510000000690,
0,,Segment,4,15,Image 1,8,1,100000001,510000000699,
0,,Segment,4,13,Image 1,6,1,100000001,510000000703,
0,,Segment,4,12,Image 1,6,1,100000001,510000000705,
0.0555556,,Segment,4,11,Image 1,5,1,100000001,510000000723,
0,,Segment,4,19,Image 1,8,1,100000001,510000000775,
0,,Segment,4,17,Image 1,8,1,100000001,510000000780,
0,,Segment,4,4,Image 1,3,1,100000001,510000000830,
0,,Segment,4,4,Image 1,4,1,100000001,510000000843,
0,,Segment,4,9,Image 1,5,1,100000001,510000000864,
0,,Segment,4,4,Image 1,3,1,100000001,510000000872,
0,,Segment,4,3,Image 1,3,1,100000001,510000000902,
0,,Segment,4,2,Image 1,2,1,100000001,510000000906,
