
Spine Terminal Pt Distance
 ==================== 
Spine Terminal Pt Distance,Unit,Category,Depth,Level,Time,FilamentID,ID,
30.995,µm,Spine,8,6,1,100000003,610000006743,
85.5527,µm,Spine,20,8,1,100000001,610000006746,
28.9903,µm,Spine,7,6,1,100000003,610000006750,
28.4864,µm,Spine,6,4,1,100000003,610000006759,
91.3699,µm,Spine,19,11,1,100000001,610000006812,
85.1532,µm,Spine,18,11,1,100000001,610000006813,
93.9867,µm,Spine,17,10,1,100000001,610000006814,
86.8159,µm,Spine,20,8,1,100000001,610000006815,
84.8161,µm,Spine,20,8,1,100000001,610000006816,
82.8132,µm,Spine,19,9,1,100000001,610000006817,
78.0586,µm,Spine,17,9,1,100000001,610000006818,
67.4068,µm,Spine,14,8,1,100000001,610000006819,
80.322,µm,Spine,19,8,1,100000001,610000006820,
71.3636,µm,Spine,16,8,1,100000001,610000006821,
69.666,µm,Spine,16,8,1,100000001,610000006822,
95.9929,µm,Spine,20,8,1,100000001,610000006823,
87.73,µm,Spine,18,8,1,100000001,610000006824,
86.3876,µm,Spine,18,8,1,100000001,610000006825,
69.2121,µm,Spine,15,7,1,100000001,610000006826,
66.2328,µm,Spine,13,6,1,100000001,610000006827,
69.9361,µm,Spine,13,7,1,100000001,610000006828,
66.8572,µm,Spine,12,5,1,100000001,610000006829,
58.4077,µm,Spine,9,4,1,100000001,610000006830,
59.0322,µm,Spine,9,5,1,100000001,610000006831,
1.54538,µm,Spine,0,1,1,100000001,610000006832,
1.94493,µm,Spine,0,1,1,100000001,610000006833,
1.39093,µm,Spine,0,1,1,100000001,610000006834,
9.33163,µm,Spine,1,1,1,100000001,610000006836,
3.58816,µm,Spine,0,1,1,100000001,610000006837,
2.08828,µm,Spine,0,1,1,100000001,610000006838,
1.6937,µm,Spine,0,1,1,100000001,610000006839,
1.61369,µm,Spine,0,1,1,100000001,610000006840,
20.6199,µm,Spine,1,1,1,100000001,610000006841,
5.67607,µm,Spine,0,1,1,100000001,610000006842,
4.04452,µm,Spine,0,1,1,100000001,610000006843,
6.1372,µm,Spine,0,1,1,100000001,610000006845,
5.67066,µm,Spine,0,1,1,100000001,610000006846,
6.06013,µm,Spine,1,1,1,100000001,610000006848,
10.7677,µm,Spine,2,3,1,100000002,610000006849,
7.2165,µm,Spine,1,2,1,100000002,610000006850,
5.94472,µm,Spine,1,2,1,100000002,610000006851,
34.5204,µm,Spine,7,4,1,100000002,610000006852,
22.0632,µm,Spine,4,2,1,100000002,610000006853,
35.5645,µm,Spine,9,4,1,100000002,610000006854,
1.04449,µm,Spine,0,1,1,100000002,610000006855,
15.1382,µm,Spine,3,2,1,100000002,610000006859,
5.80448,µm,Spine,0,1,1,100000002,610000006861,
15.1832,µm,Spine,2,2,1,100000002,610000006862,
11.7292,µm,Spine,2,2,1,100000002,610000006864,
13.9023,µm,Spine,2,3,1,100000002,610000006865,
13.6492,µm,Spine,2,3,1,100000002,610000006866,
8.04373,µm,Spine,1,2,1,100000002,610000006867,
31.3587,µm,Spine,5,2,1,100000003,610000006869,
24.0018,µm,Spine,2,2,1,100000003,610000006870,
20.8255,µm,Spine,2,2,1,100000003,610000006871,
3.57149,µm,Spine,0,1,1,100000003,610000006872,
3.38614,µm,Spine,0,1,1,100000003,610000006873,
1.38968,µm,Spine,0,1,1,100000003,610000006874,
1.36647,µm,Spine,0,1,1,100000003,610000006875,
16.7498,µm,Spine,2,1,1,100000003,610000006876,
6.0391,µm,Spine,0,1,1,100000003,610000006878,
4.40707,µm,Spine,0,1,1,100000003,610000006879,
1.83099,µm,Spine,0,1,1,100000003,610000006880,
12.2991,µm,Spine,1,2,1,100000003,610000006882,
8.21915,µm,Spine,1,2,1,100000003,610000006883,
120.089,µm,Spine,19,6,1,100000003,610000006884,
110.93,µm,Spine,19,6,1,100000003,610000006885,
94.2428,µm,Spine,19,6,1,100000003,610000006886,
83.0843,µm,Spine,16,5,1,100000003,610000006887,
63.5728,µm,Spine,12,4,1,100000003,610000006888,
25.2705,µm,Spine,6,4,1,100000003,610000006889,
23.2203,µm,Spine,6,4,1,100000003,610000006890,
54.6226,µm,Spine,11,6,1,100000003,610000006891,
43.7608,µm,Spine,10,6,1,100000003,610000006892,
42.3019,µm,Spine,10,7,1,100000003,610000006893,
37.2651,µm,Spine,9,6,1,100000003,610000006894,
35.2642,µm,Spine,9,7,1,100000003,610000006895,
30.7567,µm,Spine,8,6,1,100000003,610000006896,
27.7916,µm,Spine,8,6,1,100000003,610000006897,
25.135,µm,Spine,8,6,1,100000003,610000006898,
26.932,µm,Spine,7,6,1,100000003,610000006899,
23.6329,µm,Spine,7,5,1,100000003,610000006900,
22.1452,µm,Spine,5,4,1,100000003,610000006901,
20.2636,µm,Spine,4,3,1,100000003,610000006902,
20.1741,µm,Spine,4,3,1,100000003,610000006903,
48.4338,µm,Spine,10,6,1,100000003,610000006904,
47.5803,µm,Spine,10,5,1,100000003,610000006905,
43.4202,µm,Spine,9,5,1,100000003,610000006906,
41.3199,µm,Spine,9,5,1,100000003,610000006907,
27.3176,µm,Spine,5,4,1,100000003,610000006908,
21.6397,µm,Spine,4,4,1,100000003,610000006909,
21.4077,µm,Spine,4,4,1,100000003,610000006910,
20.0626,µm,Spine,4,4,1,100000003,610000006911,
14.1971,µm,Spine,2,1,1,100000003,610000006912,
1.79625,µm,Spine,0,1,1,100000003,610000006913,
1.16347,µm,Spine,0,1,1,100000003,610000006914,
3.96301,µm,Spine,0,1,1,100000003,610000006919,
