
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2.55741,,Surface,3,Image 1,1,0,
3.68925,,Surface,3,Image 1,1,1,
2.42644,,Surface,3,Image 1,1,2,
