
Intensity Sum Ch=5 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
202917,,Surface,5,Image 1,1,0,
134596,,Surface,5,Image 1,1,1,
162907,,Surface,5,Image 1,1,2,
18411,,Surface,5,Image 1,1,3,
