
Soma Position
 ==================== 
Soma Position X,Soma Position Y,Soma Position Z,Unit,Category,Collection,Time,FilamentID,ID,
470.247,21242.7,1433.6,µm,Soma,Soma Position,1,100000000,800000000,
482.007,21254.2,1434.81,µm,Soma,Soma Position,1,100000001,800000001,
502.968,21260.3,1432.66,µm,Soma,Soma Position,1,100000002,800000002,
499.952,21227.6,1431.45,µm,Soma,Soma Position,1,100000003,800000003,
