
Segment Branch Level
 ==================== 
Segment Branch Level,Unit,Category,Depth,Level,Time,FilamentID,ID,
6,,Segment,12,6,1,100000000,510000000044,
6,,Segment,11,6,1,100000000,510000000053,
5,,Segment,10,5,1,100000000,510000000068,
5,,Segment,9,5,1,100000000,510000000074,
5,,Segment,8,5,1,100000000,510000000079,
5,,Segment,7,5,1,100000000,510000000120,
4,,Segment,6,4,1,100000000,510000000155,
3,,Segment,5,3,1,100000000,510000000183,
3,,Segment,4,3,1,100000000,510000000191,
3,,Segment,3,3,1,100000000,510000000252,
2,,Segment,2,2,1,100000000,510000000258,
1,,Segment,1,1,1,100000000,510000000266,
1,,Segment,0,1,1,100000000,510000000268,
7,,Segment,12,7,1,100000000,510000000294,
5,,Segment,11,5,1,100000000,510000000299,
6,,Segment,9,6,1,100000000,510000000304,
3,,Segment,6,3,1,100000003,510000000328,
3,,Segment,5,3,1,100000003,510000000345,
3,,Segment,4,3,1,100000003,510000000364,
3,,Segment,3,3,1,100000003,510000000375,
2,,Segment,2,2,1,100000003,510000000403,
1,,Segment,0,1,1,100000003,510000000413,
5,,Segment,7,5,1,100000003,510000000437,
4,,Segment,6,4,1,100000003,510000000439,
4,,Segment,7,4,1,100000003,510000000449,
5,,Segment,7,5,1,100000003,510000000456,
5,,Segment,6,5,1,100000003,510000000461,
4,,Segment,5,4,1,100000003,510000000476,
6,,Segment,7,6,1,100000003,510000000478,
4,,Segment,6,4,1,100000003,510000000481,
4,,Segment,4,4,1,100000003,510000000495,
2,,Segment,3,2,1,100000003,510000000504,
5,,Segment,8,5,1,100000000,510000000506,
4,,Segment,7,4,1,100000000,510000000523,
4,,Segment,6,4,1,100000000,510000000561,
4,,Segment,5,4,1,100000000,510000000566,
4,,Segment,4,4,1,100000000,510000000577,
6,,Segment,8,6,1,100000000,510000000581,
5,,Segment,7,5,1,100000000,510000000588,
5,,Segment,6,5,1,100000000,510000000604,
5,,Segment,5,5,1,100000000,510000000607,
3,,Segment,9,3,1,100000001,510000000613,
3,,Segment,8,3,1,100000001,510000000617,
3,,Segment,7,3,1,100000001,510000000630,
2,,Segment,6,2,1,100000001,510000000642,
2,,Segment,5,2,1,100000001,510000000647,
2,,Segment,4,2,1,100000001,510000000677,
2,,Segment,3,2,1,100000001,510000000682,
1,,Segment,2,1,1,100000001,510000000685,
1,,Segment,1,1,1,100000001,510000000704,
1,,Segment,0,1,1,100000001,510000000743,
5,,Segment,10,5,1,100000002,510000000750,
4,,Segment,9,4,1,100000002,510000000755,
4,,Segment,8,4,1,100000002,510000000761,
4,,Segment,7,4,1,100000002,510000000775,
4,,Segment,6,4,1,100000002,510000000785,
3,,Segment,5,3,1,100000002,510000000788,
3,,Segment,4,3,1,100000002,510000000804,
2,,Segment,3,2,1,100000002,510000000828,
2,,Segment,2,2,1,100000002,510000000834,
1,,Segment,1,1,1,100000002,510000000844,
1,,Segment,0,1,1,100000002,510000000871,
8,,Segment,16,8,1,100000001,510000000881,
8,,Segment,15,8,1,100000001,510000000887,
7,,Segment,14,7,1,100000001,510000000903,
6,,Segment,13,6,1,100000001,510000000910,
6,,Segment,12,6,1,100000001,510000000923,
5,,Segment,11,5,1,100000001,510000000928,
5,,Segment,10,5,1,100000001,510000000932,
4,,Segment,9,4,1,100000001,510000000953,
3,,Segment,8,3,1,100000001,510000000962,
2,,Segment,7,2,1,100000001,510000000964,
2,,Segment,6,2,1,100000001,510000000966,
2,,Segment,5,2,1,100000001,510000000969,
2,,Segment,4,2,1,100000001,510000000977,
2,,Segment,3,2,1,100000001,510000001051,
2,,Segment,2,2,1,100000001,510000001055,
2,,Segment,1,2,1,100000001,510000001060,
5,,Segment,7,5,1,100000001,510000001065,
4,,Segment,6,4,1,100000001,510000001092,
4,,Segment,5,4,1,100000001,510000001102,
3,,Segment,4,3,1,100000001,510000001138,
2,,Segment,3,2,1,100000001,510000001140,
2,,Segment,2,2,1,100000001,510000001144,
5,,Segment,24,5,1,100000000,510000001198,
4,,Segment,23,4,1,100000000,510000001235,
4,,Segment,22,4,1,100000000,510000001237,
4,,Segment,21,4,1,100000000,510000001254,
4,,Segment,20,4,1,100000000,510000001259,
4,,Segment,19,4,1,100000000,510000001298,
4,,Segment,18,4,1,100000000,510000001318,
4,,Segment,17,4,1,100000000,510000001320,
4,,Segment,16,4,1,100000000,510000001339,
4,,Segment,15,4,1,100000000,510000001371,
3,,Segment,14,3,1,100000000,510000001382,
2,,Segment,13,2,1,100000000,510000001396,
1,,Segment,12,1,1,100000000,510000001411,
1,,Segment,11,1,1,100000000,510000001416,
1,,Segment,10,1,1,100000000,510000001420,
1,,Segment,9,1,1,100000000,510000001424,
1,,Segment,8,1,1,100000000,510000001426,
1,,Segment,7,1,1,100000000,510000001429,
1,,Segment,6,1,1,100000000,510000001457,
1,,Segment,4,1,1,100000000,510000001467,
1,,Segment,3,1,1,100000000,510000001475,
1,,Segment,2,1,1,100000000,510000001478,
1,,Segment,1,1,1,100000000,510000001482,
1,,Segment,0,1,1,100000000,510000001492,
5,,Segment,25,5,1,100000000,510000001507,
4,,Segment,24,4,1,100000000,510000001512,
4,,Segment,25,4,1,100000000,510000001525,
5,,Segment,19,5,1,100000000,510000001527,
5,,Segment,18,5,1,100000000,510000001533,
5,,Segment,17,5,1,100000000,510000001546,
5,,Segment,16,5,1,100000000,510000001549,
5,,Segment,22,5,1,100000000,510000001570,
6,,Segment,18,6,1,100000000,510000001572,
5,,Segment,23,5,1,100000000,510000001577,
5,,Segment,20,5,1,100000000,510000001583,
2,,Segment,15,2,1,100000002,510000001591,
1,,Segment,14,1,1,100000002,510000001597,
1,,Segment,12,1,1,100000002,510000001632,
1,,Segment,11,1,1,100000002,510000001641,
1,,Segment,10,1,1,100000002,510000001647,
1,,Segment,8,1,1,100000002,510000001650,
1,,Segment,7,1,1,100000002,510000001665,
1,,Segment,6,1,1,100000002,510000001686,
1,,Segment,4,1,1,100000002,510000001711,
1,,Segment,3,1,1,100000002,510000001742,
1,,Segment,2,1,1,100000002,510000001752,
1,,Segment,0,1,1,100000002,510000001764,
