
Segment Center Intensity Median Ch=2 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
110.062,,Segment,2,13,Image 1,2,1,100000000,510000001396,
101.062,,Segment,2,12,Image 1,1,1,100000000,510000001411,
71.5625,,Segment,2,11,Image 1,1,1,100000000,510000001416,
92.0312,,Segment,2,10,Image 1,1,1,100000000,510000001420,
107.031,,Segment,2,9,Image 1,1,1,100000000,510000001424,
101.031,,Segment,2,8,Image 1,1,1,100000000,510000001426,
85.0156,,Segment,2,7,Image 1,1,1,100000000,510000001429,
99.0625,,Segment,2,6,Image 1,1,1,100000000,510000001457,
95.0625,,Segment,2,4,Image 1,1,1,100000000,510000001467,
102.062,,Segment,2,3,Image 1,1,1,100000000,510000001475,
69.5039,,Segment,2,2,Image 1,1,1,100000000,510000001478,
90.0312,,Segment,2,1,Image 1,1,1,100000000,510000001482,
78.5312,,Segment,2,0,Image 1,1,1,100000000,510000001492,
28.5312,,Segment,2,25,Image 1,5,1,100000000,510000001507,
69.0312,,Segment,2,24,Image 1,4,1,100000000,510000001512,
68.5625,,Segment,2,25,Image 1,4,1,100000000,510000001525,
14.0078,,Segment,2,19,Image 1,5,1,100000000,510000001527,
20.0312,,Segment,2,18,Image 1,5,1,100000000,510000001533,
21.5625,,Segment,2,17,Image 1,5,1,100000000,510000001546,
31.0313,,Segment,2,16,Image 1,5,1,100000000,510000001549,
53.125,,Segment,2,22,Image 1,5,1,100000000,510000001570,
23.0625,,Segment,2,18,Image 1,6,1,100000000,510000001572,
54.0625,,Segment,2,23,Image 1,5,1,100000000,510000001577,
14.0625,,Segment,2,20,Image 1,5,1,100000000,510000001583,
19.0625,,Segment,2,15,Image 1,2,1,100000002,510000001591,
64.0625,,Segment,2,14,Image 1,1,1,100000002,510000001597,
73.0625,,Segment,2,12,Image 1,1,1,100000002,510000001632,
70.0312,,Segment,2,11,Image 1,1,1,100000002,510000001641,
52.0625,,Segment,2,10,Image 1,1,1,100000002,510000001647,
86.0312,,Segment,2,8,Image 1,1,1,100000002,510000001650,
67.0625,,Segment,2,7,Image 1,1,1,100000002,510000001665,
81.0625,,Segment,2,6,Image 1,1,1,100000002,510000001686,
113.125,,Segment,2,4,Image 1,1,1,100000002,510000001711,
94.0625,,Segment,2,3,Image 1,1,1,100000002,510000001742,
108.062,,Segment,2,2,Image 1,1,1,100000002,510000001752,
150.516,,Segment,2,0,Image 1,1,1,100000002,510000001764,
30.0625,,Segment,2,15,Image 1,7,1,100000001,510000001798,
31.0156,,Segment,2,7,Image 1,4,1,100000000,510000001800,
45.0312,,Segment,2,17,Image 1,6,1,100000000,510000001803,
61.5625,,Segment,2,13,Image 1,2,1,100000002,510000001832,
87.0625,,Segment,2,17,Image 1,3,1,100000002,510000001862,
99.0312,,Segment,2,16,Image 1,3,1,100000002,510000001866,
30.0625,,Segment,2,15,Image 1,3,1,100000002,510000001877,
95.5312,,Segment,2,14,Image 1,2,1,100000002,510000001880,
77.5312,,Segment,2,13,Image 1,2,1,100000002,510000001883,
66.0312,,Segment,2,12,Image 1,2,1,100000002,510000001889,
61.5625,,Segment,2,11,Image 1,2,1,100000002,510000001898,
75.625,,Segment,2,17,Image 1,2,1,100000002,510000001917,
108.062,,Segment,2,15,Image 1,2,1,100000002,510000001935,
91.0625,,Segment,2,14,Image 1,2,1,100000002,510000001949,
53.0312,,Segment,2,13,Image 1,2,1,100000002,510000001957,
62.0625,,Segment,2,12,Image 1,2,1,100000002,510000001965,
54.0625,,Segment,2,15,Image 1,1,1,100000002,510000001978,
84.5625,,Segment,2,16,Image 1,3,1,100000002,510000001999,
53.625,,Segment,2,17,Image 1,3,1,100000002,510000002006,
30.0625,,Segment,2,15,Image 1,4,1,100000002,510000002012,
86.0625,,Segment,2,14,Image 1,3,1,100000002,510000002018,
63.0312,,Segment,2,13,Image 1,3,1,100000002,510000002022,
22.0312,,Segment,2,17,Image 1,5,1,100000000,510000002031,
87.125,,Segment,2,12,Image 1,6,1,100000001,510000002052,
102.125,,Segment,2,11,Image 1,6,1,100000001,510000002066,
107.062,,Segment,2,10,Image 1,5,1,100000001,510000002070,
48.0625,,Segment,2,9,Image 1,5,1,100000001,510000002074,
51.0312,,Segment,2,8,Image 1,4,1,100000001,510000002080,
41.0625,,Segment,2,7,Image 1,4,1,100000001,510000002082,
54.0625,,Segment,2,14,Image 1,3,1,100000002,510000002099,
27.0625,,Segment,2,8,Image 1,5,1,100000001,510000002115,
33.0625,,Segment,2,26,Image 1,3,1,100000000,510000002121,
72.0312,,Segment,2,25,Image 1,3,1,100000000,510000002125,
87.0312,,Segment,2,24,Image 1,2,1,100000000,510000002133,
115.031,,Segment,2,23,Image 1,2,1,100000000,510000002136,
79.0156,,Segment,2,22,Image 1,2,1,100000000,510000002138,
87.0625,,Segment,2,21,Image 1,2,1,100000000,510000002151,
79.0625,,Segment,2,20,Image 1,2,1,100000000,510000002169,
64.0312,,Segment,2,19,Image 1,1,1,100000000,510000002171,
39.0625,,Segment,2,18,Image 1,1,1,100000000,510000002180,
17.5625,,Segment,2,17,Image 1,1,1,100000000,510000002183,
40.0625,,Segment,2,16,Image 1,1,1,100000000,510000002187,
106.562,,Segment,2,15,Image 1,1,1,100000000,510000002194,
106.062,,Segment,2,14,Image 1,1,1,100000000,510000002204,
93.0625,,Segment,2,13,Image 1,1,1,100000000,510000002229,
32.0625,,Segment,2,19,Image 1,5,1,100000000,510000002231,
32.0312,,Segment,2,16,Image 1,4,1,100000002,510000002233,
83.0625,,Segment,2,15,Image 1,3,1,100000002,510000002237,
20.0625,,Segment,2,22,Image 1,3,1,100000000,510000002250,
65.0312,,Segment,2,16,Image 1,3,1,100000002,510000002253,
55.0312,,Segment,2,16,Image 1,4,1,100000002,510000002258,
40.0312,,Segment,2,12,Image 1,7,1,100000001,510000002262,
30.0625,,Segment,2,14,Image 1,2,1,100000002,510000002264,
48.0625,,Segment,2,15,Image 1,3,1,100000002,510000002270,
86.0625,,Segment,2,11,Image 1,5,1,100000001,510000002279,
51.0625,,Segment,2,6,Image 1,3,1,100000000,510000002281,
30.0156,,Segment,2,26,Image 1,4,1,100000000,510000002283,
61.0625,,Segment,2,6,Image 1,4,1,100000002,510000002309,
63.0625,,Segment,2,5,Image 1,3,1,100000002,510000002318,
82.0156,,Segment,2,4,Image 1,2,1,100000002,510000002321,
51.0625,,Segment,2,3,Image 1,2,1,100000002,510000002358,
94.625,,Segment,2,2,Image 1,1,1,100000002,510000002407,
100.562,,Segment,2,1,Image 1,1,1,100000002,510000002418,
115.031,,Segment,2,0,Image 1,1,1,100000002,510000002439,
56.0625,,Segment,2,13,Image 1,4,1,100000002,510000002443,
18.0625,,Segment,2,12,Image 1,3,1,100000002,510000002450,
52.0625,,Segment,2,19,Image 1,5,1,100000000,510000002457,
45.0625,,Segment,2,18,Image 1,4,1,100000000,510000002473,
18.0078,,Segment,2,17,Image 1,4,1,100000000,510000002475,
45.0625,,Segment,2,16,Image 1,3,1,100000000,510000002477,
