
Soma Ellipsoid Axis B X
 ==================== 
Soma Ellipsoid Axis B X,Unit,Category,Collection,Time,FilamentID,ID,
0.468516,µm,Soma,Soma Ellipsoid Axis B,1,100000000,800000000,
0.266278,µm,Soma,Soma Ellipsoid Axis B,1,100000001,800000001,
-0.303767,µm,Soma,Soma Ellipsoid Axis B,1,100000002,800000002,
0.519005,µm,Soma,Soma Ellipsoid Axis B,1,100000003,800000003,
