
Spine Max Diameter
 ==================== 
Spine Max Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.273468,µm,Spine,17,3,1,100000002,610000006403,
0.309953,µm,Spine,13,1,1,100000002,610000006406,
0.34157,µm,Spine,4,3,1,100000003,610000006410,
0.27993,µm,Spine,7,4,1,100000002,610000006415,
0.223243,µm,Spine,9,3,1,100000002,610000006420,
0.398377,µm,Spine,4,3,1,100000000,610000006424,
0.302024,µm,Spine,15,4,1,100000000,610000006427,
0.35906,µm,Spine,3,2,1,100000001,610000006430,
0.293628,µm,Spine,24,5,1,100000000,610000006438,
0.296555,µm,Spine,7,5,1,100000001,610000006441,
0.329016,µm,Spine,7,2,1,100000002,610000006444,
0.437297,µm,Spine,23,4,1,100000000,610000006447,
0.266411,µm,Spine,9,5,1,100000000,610000006450,
0.39487,µm,Spine,8,2,1,100000001,610000006454,
0.299342,µm,Spine,3,2,1,100000002,610000006456,
0.269009,µm,Spine,5,1,1,100000001,610000006459,
0.589391,µm,Spine,13,2,1,100000002,610000006462,
0.298654,µm,Spine,7,6,1,100000001,610000006464,
0.403793,µm,Spine,4,3,1,100000001,610000006467,
0.250641,µm,Spine,7,5,1,100000000,610000006471,
0.299342,µm,Spine,3,2,1,100000002,610000006473,
0.27736,µm,Spine,12,2,1,100000002,610000006477,
0.244131,µm,Spine,0,1,1,100000002,610000006481,
0.440992,µm,Spine,2,2,1,100000003,610000006487,
0.446648,µm,Spine,2,2,1,100000003,610000006490,
0.643461,µm,Spine,6,4,1,100000001,610000006495,
0.643461,µm,Spine,6,4,1,100000001,610000006500,
0.359017,µm,Spine,0,1,1,100000000,610000006507,
0.359017,µm,Spine,0,1,1,100000000,610000006514,
0.436675,µm,Spine,4,2,1,100000001,610000006516,
0.461196,µm,Spine,8,3,1,100000001,610000006519,
0.570893,µm,Spine,0,1,1,100000000,610000006526,
0.345313,µm,Spine,12,2,1,100000002,610000006528,
0.467337,µm,Spine,9,5,1,100000002,610000006531,
0.322708,µm,Spine,5,2,1,100000002,610000006533,
0.384098,µm,Spine,1,1,1,100000002,610000006537,
0.322009,µm,Spine,8,1,1,100000000,610000006540,
0.296482,µm,Spine,9,2,1,100000001,610000006544,
0.444711,µm,Spine,0,1,1,100000003,610000006548,
0.208901,µm,Spine,0,1,1,100000002,610000006552,
0.55672,µm,Spine,4,2,1,100000003,610000006556,
0.342678,µm,Spine,12,2,1,100000000,610000006560,
0.318353,µm,Spine,21,4,1,100000000,610000006563,
0.325,µm,Spine,8,3,1,100000002,610000006566,
0.350352,µm,Spine,8,1,1,100000002,610000006570,
0.463407,µm,Spine,0,1,1,100000002,610000006573,
0.38534,µm,Spine,0,1,1,100000002,610000006577,
0.324032,µm,Spine,12,2,1,100000000,610000006579,
0.396163,µm,Spine,0,1,1,100000003,610000006586,
0.660118,µm,Spine,0,1,1,100000000,610000006589,
0.293081,µm,Spine,5,2,1,100000000,610000006591,
0.344389,µm,Spine,3,2,1,100000001,610000006593,
0.881524,µm,Spine,0,1,1,100000003,610000006596,
0.27577,µm,Spine,2,2,1,100000002,610000006598,
0.37706,µm,Spine,5,2,1,100000001,610000006600,
0.475585,µm,Spine,15,1,1,100000000,610000006602,
0.389211,µm,Spine,4,3,1,100000002,610000006605,
0.333674,µm,Spine,12,2,1,100000002,610000006608,
0.318034,µm,Spine,1,2,1,100000002,610000006612,
0.293628,µm,Spine,24,5,1,100000000,610000006615,
0.488027,µm,Spine,0,1,1,100000003,610000006617,
0.359017,µm,Spine,0,1,1,100000000,610000006622,
0.379312,µm,Spine,1,1,1,100000001,610000006627,
0.269716,µm,Spine,2,2,1,100000002,610000006629,
0.521975,µm,Spine,0,1,1,100000000,610000006632,
0.266206,µm,Spine,9,2,1,100000000,610000006635,
0.303097,µm,Spine,24,4,1,100000000,610000006639,
0.341466,µm,Spine,14,3,1,100000000,610000006641,
0.428735,µm,Spine,8,1,1,100000001,610000006644,
0.31695,µm,Spine,12,2,1,100000000,610000006646,
0.47014,µm,Spine,5,2,1,100000001,610000006650,
0.352558,µm,Spine,7,4,1,100000002,610000006652,
0.387308,µm,Spine,0,1,1,100000001,610000006657,
0.381344,µm,Spine,6,2,1,100000000,610000006659,
0.293628,µm,Spine,24,5,1,100000000,610000006661,
0.36852,µm,Spine,2,2,1,100000002,610000006663,
0.65,µm,Spine,2,2,1,100000002,610000006665,
0.360252,µm,Spine,7,5,1,100000000,610000006668,
0.910046,µm,Spine,0,1,1,100000002,610000006673,
0.314844,µm,Spine,14,7,1,100000001,610000006675,
0.301232,µm,Spine,4,3,1,100000001,610000006677,
0.623901,µm,Spine,0,1,1,100000002,610000006683,
0.296852,µm,Spine,12,2,1,100000002,610000006685,
0.397568,µm,Spine,11,6,1,100000001,610000006687,
0.302346,µm,Spine,4,1,1,100000002,610000006690,
0.410098,µm,Spine,6,4,1,100000001,610000006694,
0.365836,µm,Spine,10,2,1,100000002,610000006699,
0.189957,µm,Spine,0,1,1,100000002,610000006701,
0.315866,µm,Spine,13,1,1,100000000,610000006706,
0.350352,µm,Spine,8,1,1,100000002,610000006708,
0.555733,µm,Spine,0,1,1,100000002,610000006714,
