
Spine Number of Voxel Ch=2 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
134,,Spine,2,0,Image 1,1,1,100000005,610000029716,
133,,Spine,2,0,Image 1,1,1,100000003,610000029719,
362,,Spine,2,2,Image 1,2,1,100000003,610000029721,
152,,Spine,2,7,Image 1,4,1,100000003,610000029723,
273,,Spine,2,11,Image 1,2,1,100000003,610000029725,
209,,Spine,2,7,Image 1,4,1,100000003,610000029728,
88,,Spine,2,4,Image 1,1,1,100000004,610000029731,
148,,Spine,2,7,Image 1,4,1,100000003,610000029733,
167,,Spine,2,1,Image 1,2,1,100000003,610000029735,
77,,Spine,2,8,Image 1,4,1,100000003,610000029737,
124,,Spine,2,4,Image 1,2,1,100000005,610000029740,
236,,Spine,2,7,Image 1,4,1,100000003,610000029746,
136,,Spine,2,11,Image 1,3,1,100000003,610000029749,
100,,Spine,2,7,Image 1,2,1,100000004,610000029752,
70,,Spine,2,4,Image 1,4,1,100000003,610000029757,
166,,Spine,2,4,Image 1,3,1,100000003,610000029761,
148,,Spine,2,0,Image 1,1,1,100000005,610000029765,
111,,Spine,2,9,Image 1,4,1,100000003,610000029768,
65,,Spine,2,5,Image 1,3,1,100000005,610000029771,
218,,Spine,2,2,Image 1,2,1,100000003,610000029776,
338,,Spine,2,0,Image 1,1,1,100000003,610000029785,
125,,Spine,2,0,Image 1,1,1,100000003,610000029791,
169,,Spine,2,2,Image 1,3,1,100000003,610000029793,
81,,Spine,2,5,Image 1,3,1,100000005,610000029796,
62,,Spine,2,14,Image 1,8,1,100000004,610000029800,
296,,Spine,2,1,Image 1,2,1,100000003,610000029802,
112,,Spine,2,1,Image 1,2,1,100000003,610000029804,
75,,Spine,2,0,Image 1,1,1,100000005,610000029810,
160,,Spine,2,0,Image 1,1,1,100000003,610000029813,
207,,Spine,2,2,Image 1,3,1,100000003,610000029816,
244,,Spine,2,0,Image 1,1,1,100000003,610000029819,
65,,Spine,2,3,Image 1,2,1,100000004,610000029824,
33,,Spine,2,13,Image 1,3,1,100000004,610000029828,
78,,Spine,2,0,Image 1,1,1,100000005,610000029833,
183,,Spine,2,11,Image 1,4,1,100000003,610000029837,
77,,Spine,2,10,Image 1,6,1,100000003,610000029842,
157,,Spine,2,0,Image 1,1,1,100000005,610000029846,
74,,Spine,2,0,Image 1,1,1,100000004,610000029852,
112,,Spine,2,11,Image 1,4,1,100000003,610000029864,
80,,Spine,2,0,Image 1,1,1,100000003,610000029871,
131,,Spine,2,0,Image 1,1,1,100000005,610000029878,
62,,Spine,2,4,Image 1,4,1,100000003,610000029888,
74,,Spine,2,7,Image 1,2,1,100000004,610000029891,
143,,Spine,2,2,Image 1,2,1,100000003,610000029898,
212,,Spine,2,6,Image 1,3,1,100000003,610000029900,
265,,Spine,2,10,Image 1,5,1,100000003,610000029907,
88,,Spine,2,0,Image 1,1,1,100000003,610000029935,
103,,Spine,2,12,Image 1,6,1,100000003,610000029948,
74,,Spine,2,11,Image 1,6,1,100000003,610000029949,
60,,Spine,2,11,Image 1,7,1,100000003,610000029950,
56,,Spine,2,10,Image 1,6,1,100000003,610000029951,
77,,Spine,2,10,Image 1,6,1,100000003,610000029952,
92,,Spine,2,10,Image 1,6,1,100000003,610000029953,
106,,Spine,2,10,Image 1,6,1,100000003,610000029954,
85,,Spine,2,8,Image 1,5,1,100000003,610000029955,
118,,Spine,2,4,Image 1,3,1,100000003,610000029956,
191,,Spine,2,3,Image 1,3,1,100000003,610000029957,
50,,Spine,2,3,Image 1,4,1,100000003,610000029958,
51,,Spine,2,3,Image 1,4,1,100000003,610000029959,
113,,Spine,2,26,Image 1,10,1,100000003,610000029960,
85,,Spine,2,26,Image 1,10,1,100000003,610000029961,
72,,Spine,2,21,Image 1,10,1,100000003,610000029962,
20,,Spine,2,19,Image 1,10,1,100000003,610000029963,
51,,Spine,2,18,Image 1,8,1,100000003,610000029964,
32,,Spine,2,17,Image 1,9,1,100000003,610000029965,
105,,Spine,2,18,Image 1,7,1,100000003,610000029966,
76,,Spine,2,18,Image 1,7,1,100000003,610000029967,
30,,Spine,2,15,Image 1,8,1,100000003,610000029968,
102,,Spine,2,14,Image 1,7,1,100000003,610000029969,
132,,Spine,2,13,Image 1,8,1,100000003,610000029970,
237,,Spine,2,13,Image 1,8,1,100000003,610000029971,
108,,Spine,2,13,Image 1,8,1,100000003,610000029972,
106,,Spine,2,12,Image 1,7,1,100000003,610000029973,
89,,Spine,2,14,Image 1,7,1,100000003,610000029974,
59,,Spine,2,14,Image 1,7,1,100000003,610000029975,
122,,Spine,2,10,Image 1,6,1,100000003,610000029976,
