
Spine Terminal Pt Position X
 ==================== 
Spine Terminal Pt Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1838.86,µm,Spine,Spine Terminal Pt Position,8,4,1,100000005,610000029303,
1830.47,µm,Spine,Spine Terminal Pt Position,0,1,1,100000004,610000029312,
1847.7,µm,Spine,Spine Terminal Pt Position,5,4,1,100000003,610000029315,
1825.34,µm,Spine,Spine Terminal Pt Position,5,3,1,100000005,610000029318,
1837.88,µm,Spine,Spine Terminal Pt Position,11,7,1,100000004,610000029320,
1815.28,µm,Spine,Spine Terminal Pt Position,13,4,1,100000004,610000029323,
1831.12,µm,Spine,Spine Terminal Pt Position,7,5,1,100000004,610000029325,
1857.79,µm,Spine,Spine Terminal Pt Position,11,2,1,100000003,610000029335,
1826.31,µm,Spine,Spine Terminal Pt Position,2,3,1,100000004,610000029338,
1854.52,µm,Spine,Spine Terminal Pt Position,4,4,1,100000003,610000029350,
1859.27,µm,Spine,Spine Terminal Pt Position,21,10,1,100000003,610000029352,
1854.26,µm,Spine,Spine Terminal Pt Position,4,4,1,100000003,610000029365,
1827.55,µm,Spine,Spine Terminal Pt Position,0,1,1,100000004,610000029368,
1861.44,µm,Spine,Spine Terminal Pt Position,18,7,1,100000003,610000029370,
1827.55,µm,Spine,Spine Terminal Pt Position,,,1,,610000029373,
1828.85,µm,Spine,Spine Terminal Pt Position,3,3,1,100000005,610000029378,
1828.85,µm,Spine,Spine Terminal Pt Position,4,1,1,100000004,610000029381,
1821.45,µm,Spine,Spine Terminal Pt Position,12,8,1,100000004,610000029383,
1846.07,µm,Spine,Spine Terminal Pt Position,9,4,1,100000003,610000029387,
1832.75,µm,Spine,Spine Terminal Pt Position,0,1,1,100000005,610000029390,
1825.79,µm,Spine,Spine Terminal Pt Position,9,4,1,100000005,610000029393,
1831.51,µm,Spine,Spine Terminal Pt Position,0,1,1,100000005,610000029401,
1847.44,µm,Spine,Spine Terminal Pt Position,,,1,,610000029403,
1837.49,µm,Spine,Spine Terminal Pt Position,7,6,1,100000004,610000029408,
1842.63,µm,Spine,Spine Terminal Pt Position,11,6,1,100000005,610000029410,
1839.51,µm,Spine,Spine Terminal Pt Position,4,3,1,100000005,610000029415,
1846.2,µm,Spine,Spine Terminal Pt Position,10,6,1,100000003,610000029417,
1824.62,µm,Spine,Spine Terminal Pt Position,4,2,1,100000004,610000029421,
1854,µm,Spine,Spine Terminal Pt Position,4,4,1,100000003,610000029430,
1854.33,µm,Spine,Spine Terminal Pt Position,4,4,1,100000003,610000029441,
1824.18,µm,Spine,Spine Terminal Pt Position,7,3,1,100000005,610000029443,
1826.38,µm,Spine,Spine Terminal Pt Position,,,1,,610000029445,
1859.66,µm,Spine,Spine Terminal Pt Position,13,8,1,100000003,610000029452,
1858.23,µm,Spine,Spine Terminal Pt Position,14,7,1,100000003,610000029455,
1839.77,µm,Spine,Spine Terminal Pt Position,5,4,1,100000005,610000029459,
1835.93,µm,Spine,Spine Terminal Pt Position,0,1,1,100000005,610000029462,
1853.03,µm,Spine,Spine Terminal Pt Position,4,4,1,100000003,610000029467,
1849.84,µm,Spine,Spine Terminal Pt Position,11,5,1,100000003,610000029471,
1845.94,µm,Spine,Spine Terminal Pt Position,9,4,1,100000003,610000029474,
1815.52,µm,Spine,Spine Terminal Pt Position,13,3,1,100000004,610000029476,
1821.89,µm,Spine,Spine Terminal Pt Position,12,8,1,100000004,610000029479,
1839.38,µm,Spine,Spine Terminal Pt Position,4,3,1,100000005,610000029482,
1830.67,µm,Spine,Spine Terminal Pt Position,0,1,1,100000004,610000029486,
1834.31,µm,Spine,Spine Terminal Pt Position,0,1,1,100000005,610000029493,
1852.12,µm,Spine,Spine Terminal Pt Position,7,3,1,100000003,610000029497,
1857.25,µm,Spine,Spine Terminal Pt Position,26,10,1,100000003,610000029501,
1838.34,µm,Spine,Spine Terminal Pt Position,4,2,1,100000005,610000029503,
1839.83,µm,Spine,Spine Terminal Pt Position,5,3,1,100000005,610000029509,
1854.33,µm,Spine,Spine Terminal Pt Position,11,4,1,100000003,610000029514,
1827.68,µm,Spine,Spine Terminal Pt Position,,,1,,610000029516,
1854.13,µm,Spine,Spine Terminal Pt Position,4,4,1,100000003,610000029527,
1856.8,µm,Spine,Spine Terminal Pt Position,13,7,1,100000003,610000029532,
1838.47,µm,Spine,Spine Terminal Pt Position,4,3,1,100000005,610000029534,
1835.87,µm,Spine,Spine Terminal Pt Position,0,1,1,100000005,610000029536,
1852.12,µm,Spine,Spine Terminal Pt Position,4,4,1,100000003,610000029540,
1832.1,µm,Spine,Spine Terminal Pt Position,2,1,1,100000005,610000029542,
1856.73,µm,Spine,Spine Terminal Pt Position,12,7,1,100000003,610000029552,
1848.28,µm,Spine,Spine Terminal Pt Position,4,4,1,100000003,610000029554,
1821.37,µm,Spine,Spine Terminal Pt Position,4,1,1,100000004,610000029557,
1852.64,µm,Spine,Spine Terminal Pt Position,7,4,1,100000003,610000029561,
1837.23,µm,Spine,Spine Terminal Pt Position,4,2,1,100000005,610000029565,
1851.93,µm,Spine,Spine Terminal Pt Position,4,4,1,100000003,610000029568,
1853.09,µm,Spine,Spine Terminal Pt Position,4,4,1,100000003,610000029571,
1840.22,µm,Spine,Spine Terminal Pt Position,10,6,1,100000003,610000029573,
1849.84,µm,Spine,Spine Terminal Pt Position,10,5,1,100000003,610000029575,
1827.03,µm,Spine,Spine Terminal Pt Position,4,3,1,100000005,610000029579,
1846.72,µm,Spine,Spine Terminal Pt Position,10,5,1,100000003,610000029581,
1857.64,µm,Spine,Spine Terminal Pt Position,11,2,1,100000003,610000029588,
1851.01,µm,Spine,Spine Terminal Pt Position,5,3,1,100000003,610000029590,
1821.18,µm,Spine,Spine Terminal Pt Position,7,2,1,100000004,610000029592,
1836.71,µm,Spine,Spine Terminal Pt Position,13,9,1,100000004,610000029597,
1830.41,µm,Spine,Spine Terminal Pt Position,0,1,1,100000004,610000029600,
1853.22,µm,Spine,Spine Terminal Pt Position,4,4,1,100000003,610000029606,
1839.31,µm,Spine,Spine Terminal Pt Position,6,4,1,100000005,610000029609,
1852.25,µm,Spine,Spine Terminal Pt Position,7,3,1,100000003,610000029613,
1854.39,µm,Spine,Spine Terminal Pt Position,11,4,1,100000003,610000029621,
1831.19,µm,Spine,Spine Terminal Pt Position,0,1,1,100000005,610000029626,
1827.94,µm,Spine,Spine Terminal Pt Position,3,2,1,100000005,610000029628,
1839.64,µm,Spine,Spine Terminal Pt Position,6,5,1,100000005,610000029630,
1837.88,µm,Spine,Spine Terminal Pt Position,4,2,1,100000005,610000029633,
1850.56,µm,Spine,Spine Terminal Pt Position,7,3,1,100000003,610000029635,
1832.94,µm,Spine,Spine Terminal Pt Position,4,3,1,100000005,610000029639,
1840.81,µm,Spine,Spine Terminal Pt Position,5,4,1,100000005,610000029643,
1856.6,µm,Spine,Spine Terminal Pt Position,15,2,1,100000003,610000029649,
