
Spine Center Intensity Mean Ch=1 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3.66667,,Spine,1,0,Image 1,1,1,100000003,610000029693,
0.25,,Spine,1,0,Image 1,1,1,100000003,610000029696,
1,,Spine,1,0,Image 1,1,1,100000003,610000029699,
4,,Spine,1,5,Image 1,3,1,100000005,610000029701,
1.2,,Spine,1,13,Image 1,8,1,100000003,610000029706,
1,,Spine,1,0,Image 1,1,1,100000004,610000029708,
1.75,,Spine,1,11,Image 1,4,1,100000003,610000029714,
7,,Spine,1,0,Image 1,1,1,100000005,610000029716,
4.33333,,Spine,1,0,Image 1,1,1,100000003,610000029719,
1,,Spine,1,2,Image 1,2,1,100000003,610000029721,
0.666667,,Spine,1,7,Image 1,4,1,100000003,610000029723,
0.666667,,Spine,1,11,Image 1,2,1,100000003,610000029725,
0.5,,Spine,1,7,Image 1,4,1,100000003,610000029728,
0.666667,,Spine,1,4,Image 1,1,1,100000004,610000029731,
1.33333,,Spine,1,7,Image 1,4,1,100000003,610000029733,
1.33333,,Spine,1,1,Image 1,2,1,100000003,610000029735,
1,,Spine,1,8,Image 1,4,1,100000003,610000029737,
0.666667,,Spine,1,4,Image 1,2,1,100000005,610000029740,
0.8,,Spine,1,7,Image 1,4,1,100000003,610000029746,
1,,Spine,1,11,Image 1,3,1,100000003,610000029749,
13.75,,Spine,1,7,Image 1,2,1,100000004,610000029752,
0.666667,,Spine,1,4,Image 1,4,1,100000003,610000029757,
0.333333,,Spine,1,4,Image 1,3,1,100000003,610000029761,
1.75,,Spine,1,0,Image 1,1,1,100000005,610000029765,
11,,Spine,1,9,Image 1,4,1,100000003,610000029768,
7,,Spine,1,5,Image 1,3,1,100000005,610000029771,
1.33333,,Spine,1,2,Image 1,2,1,100000003,610000029776,
1.25,,Spine,1,0,Image 1,1,1,100000003,610000029785,
2,,Spine,1,0,Image 1,1,1,100000003,610000029791,
4,,Spine,1,2,Image 1,3,1,100000003,610000029793,
8.66667,,Spine,1,5,Image 1,3,1,100000005,610000029796,
0.666667,,Spine,1,14,Image 1,8,1,100000004,610000029800,
