
Spine Terminal Pt Intensity Center Ch=2 Img=1
 ==================== 
Spine Terminal Pt Intensity Center,Unit,Category,Channel,Depth,Image,Time,FilamentID,ID,
56,,Spine,2,8,Image 1,1,100000005,610000029303,
122,,Spine,2,0,Image 1,1,100000004,610000029312,
68,,Spine,2,5,Image 1,1,100000003,610000029315,
56,,Spine,2,5,Image 1,1,100000005,610000029318,
79,,Spine,2,11,Image 1,1,100000004,610000029320,
41,,Spine,2,13,Image 1,1,100000004,610000029323,
56,,Spine,2,7,Image 1,1,100000004,610000029325,
40,,Spine,2,11,Image 1,1,100000003,610000029335,
44,,Spine,2,2,Image 1,1,100000004,610000029338,
69,,Spine,2,4,Image 1,1,100000003,610000029350,
52,,Spine,2,21,Image 1,1,100000003,610000029352,
116,,Spine,2,4,Image 1,1,100000003,610000029365,
97,,Spine,2,0,Image 1,1,100000004,610000029368,
39,,Spine,2,18,Image 1,1,100000003,610000029370,
154,,Spine,2,0,Image 1,1,,610000029373,
43,,Spine,2,3,Image 1,1,100000005,610000029378,
54,,Spine,2,4,Image 1,1,100000004,610000029381,
63,,Spine,2,12,Image 1,1,100000004,610000029383,
58,,Spine,2,9,Image 1,1,100000003,610000029387,
54,,Spine,2,0,Image 1,1,100000005,610000029390,
88,,Spine,2,9,Image 1,1,100000005,610000029393,
62,,Spine,2,0,Image 1,1,100000005,610000029401,
113,,Spine,2,0,Image 1,1,,610000029403,
37,,Spine,2,7,Image 1,1,100000004,610000029408,
56,,Spine,2,11,Image 1,1,100000005,610000029410,
123,,Spine,2,4,Image 1,1,100000005,610000029415,
57,,Spine,2,10,Image 1,1,100000003,610000029417,
60,,Spine,2,4,Image 1,1,100000004,610000029421,
66,,Spine,2,4,Image 1,1,100000003,610000029430,
111,,Spine,2,4,Image 1,1,100000003,610000029441,
68,,Spine,2,7,Image 1,1,100000005,610000029443,
103,,Spine,2,0,Image 1,1,,610000029445,
49,,Spine,2,13,Image 1,1,100000003,610000029452,
69,,Spine,2,14,Image 1,1,100000003,610000029455,
147,,Spine,2,5,Image 1,1,100000005,610000029459,
72,,Spine,2,0,Image 1,1,100000005,610000029462,
54,,Spine,2,4,Image 1,1,100000003,610000029467,
70,,Spine,2,11,Image 1,1,100000003,610000029471,
45,,Spine,2,9,Image 1,1,100000003,610000029474,
40,,Spine,2,13,Image 1,1,100000004,610000029476,
44,,Spine,2,12,Image 1,1,100000004,610000029479,
112,,Spine,2,4,Image 1,1,100000005,610000029482,
121,,Spine,2,0,Image 1,1,100000004,610000029486,
53,,Spine,2,0,Image 1,1,,610000029488,
57,,Spine,2,0,Image 1,1,100000005,610000029493,
90,,Spine,2,7,Image 1,1,100000003,610000029497,
69,,Spine,2,26,Image 1,1,100000003,610000029501,
44,,Spine,2,4,Image 1,1,100000005,610000029503,
99,,Spine,2,5,Image 1,1,100000005,610000029509,
59,,Spine,2,11,Image 1,1,100000003,610000029514,
70,,Spine,2,0,Image 1,1,,610000029516,
126,,Spine,2,4,Image 1,1,100000003,610000029527,
42,,Spine,2,13,Image 1,1,100000003,610000029532,
60,,Spine,2,4,Image 1,1,100000005,610000029534,
79,,Spine,2,0,Image 1,1,100000005,610000029536,
70,,Spine,2,4,Image 1,1,100000003,610000029540,
48,,Spine,2,2,Image 1,1,100000005,610000029542,
77,,Spine,2,0,Image 1,1,100000004,610000029548,
53,,Spine,2,12,Image 1,1,100000003,610000029552,
50,,Spine,2,4,Image 1,1,100000003,610000029554,
84,,Spine,2,4,Image 1,1,100000004,610000029557,
83,,Spine,2,7,Image 1,1,100000003,610000029561,
81,,Spine,2,4,Image 1,1,100000005,610000029565,
66,,Spine,2,4,Image 1,1,100000003,610000029568,
68,,Spine,2,4,Image 1,1,100000003,610000029571,
53,,Spine,2,10,Image 1,1,100000003,610000029573,
56,,Spine,2,10,Image 1,1,100000003,610000029575,
59,,Spine,2,4,Image 1,1,100000005,610000029579,
52,,Spine,2,10,Image 1,1,100000003,610000029581,
97,,Spine,2,11,Image 1,1,100000003,610000029588,
52,,Spine,2,5,Image 1,1,100000003,610000029590,
86,,Spine,2,7,Image 1,1,100000004,610000029592,
38,,Spine,2,13,Image 1,1,100000004,610000029597,
84,,Spine,2,0,Image 1,1,100000004,610000029600,
66,,Spine,2,4,Image 1,1,100000003,610000029606,
76,,Spine,2,6,Image 1,1,100000005,610000029609,
97,,Spine,2,7,Image 1,1,100000003,610000029613,
86,,Spine,2,11,Image 1,1,100000003,610000029621,
74,,Spine,2,0,Image 1,1,100000005,610000029626,
58,,Spine,2,3,Image 1,1,100000005,610000029628,
48,,Spine,2,6,Image 1,1,100000005,610000029630,
