
Segment Spine Density
 ==================== 
Segment Spine Density,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,1/10µm,Segment,8,6,1,100000004,510000022293,
2.32295,1/10µm,Segment,7,6,1,100000004,510000022339,
0,1/10µm,Segment,6,6,1,100000004,510000022364,
0,1/10µm,Segment,5,5,1,100000004,510000022426,
9.91283,1/10µm,Segment,4,4,1,100000004,510000022436,
0,1/10µm,Segment,3,4,1,100000004,510000022448,
0,1/10µm,Segment,2,3,1,100000004,510000022523,
0,1/10µm,Segment,1,2,1,100000004,510000022551,
0,1/10µm,Segment,0,1,1,100000004,510000022567,
0,1/10µm,Segment,8,7,1,100000004,510000022578,
7.11855,1/10µm,Segment,7,7,1,100000004,510000022593,
0,1/10µm,Segment,16,8,1,100000004,510000022610,
0,1/10µm,Segment,15,8,1,100000004,510000022615,
0,1/10µm,Segment,14,8,1,100000004,510000022659,
17.3976,1/10µm,Segment,13,7,1,100000004,510000022672,
17.3753,1/10µm,Segment,12,7,1,100000004,510000022681,
5.27673,1/10µm,Segment,11,7,1,100000004,510000022721,
6.15085,1/10µm,Segment,10,7,1,100000004,510000022740,
0,1/10µm,Segment,9,6,1,100000004,510000022784,
0,1/10µm,Segment,8,5,1,100000004,510000022786,
0,1/10µm,Segment,7,5,1,100000004,510000022819,
13.3039,1/10µm,Segment,6,5,1,100000004,510000022825,
0,1/10µm,Segment,5,4,1,100000004,510000022832,
0,1/10µm,Segment,15,9,1,100000004,510000022855,
0,1/10µm,Segment,16,9,1,100000004,510000022862,
0,1/10µm,Segment,14,8,1,100000004,510000022878,
0,1/10µm,Segment,13,8,1,100000004,510000022885,
0,1/10µm,Segment,12,8,1,100000004,510000022891,
0,1/10µm,Segment,14,7,1,100000004,510000022894,
0,1/10µm,Segment,13,8,1,100000004,510000022906,
0,1/10µm,Segment,14,9,1,100000004,510000022914,
21.0666,1/10µm,Segment,12,8,1,100000004,510000022924,
0,1/10µm,Segment,13,9,1,100000004,510000022928,
0,1/10µm,Segment,11,8,1,100000004,510000022947,
0,1/10µm,Segment,10,6,1,100000004,510000022953,
0,1/10µm,Segment,13,7,1,100000003,510000022979,
0,1/10µm,Segment,12,6,1,100000003,510000022999,
8.60332,1/10µm,Segment,11,6,1,100000003,510000023027,
7.34108,1/10µm,Segment,10,6,1,100000003,510000023130,
0,1/10µm,Segment,9,5,1,100000003,510000023140,
11.6357,1/10µm,Segment,8,4,1,100000003,510000023159,
0,1/10µm,Segment,7,4,1,100000003,510000023162,
0,1/10µm,Segment,6,4,1,100000003,510000023168,
6.81353,1/10µm,Segment,5,4,1,100000003,510000023181,
6.14568,1/10µm,Segment,4,4,1,100000003,510000023198,
15.9761,1/10µm,Segment,3,3,1,100000003,510000023204,
7.84097,1/10µm,Segment,2,3,1,100000003,510000023226,
20.2046,1/10µm,Segment,1,2,1,100000003,510000023258,
0,1/10µm,Segment,0,1,1,100000003,510000023264,
0,1/10µm,Segment,13,6,1,100000003,510000023281,
0,1/10µm,Segment,12,7,1,100000003,510000023288,
9.4591,1/10µm,Segment,11,7,1,100000003,510000023301,
0,1/10µm,Segment,7,6,1,100000004,510000023322,
4.55585,1/10µm,Segment,6,5,1,100000004,510000023343,
0,1/10µm,Segment,7,5,1,100000004,510000023345,
13.8403,1/10µm,Segment,12,4,1,100000004,510000023362,
9.38921,1/10µm,Segment,11,3,1,100000004,510000023370,
6.9319,1/10µm,Segment,10,2,1,100000004,510000023385,
4.80081,1/10µm,Segment,9,2,1,100000004,510000023407,
0,1/10µm,Segment,8,2,1,100000004,510000023413,
4.73962,1/10µm,Segment,7,2,1,100000004,510000023475,
0,1/10µm,Segment,6,2,1,100000004,510000023495,
26.69,1/10µm,Segment,5,2,1,100000004,510000023506,
12.4826,1/10µm,Segment,4,2,1,100000004,510000023514,
12.7405,1/10µm,Segment,3,2,1,100000004,510000023522,
0,1/10µm,Segment,2,2,1,100000004,510000023532,
2.70191,1/10µm,Segment,14,4,1,100000004,510000023577,
8.77566,1/10µm,Segment,13,3,1,100000004,510000023618,
0,1/10µm,Segment,12,3,1,100000004,510000023643,
19.5813,1/10µm,Segment,14,3,1,100000004,510000023649,
8.18997,1/10µm,Segment,13,4,1,100000004,510000023664,
0,1/10µm,Segment,11,2,1,100000004,510000023667,
0,1/10µm,Segment,10,3,1,100000004,510000023671,
7.85389,1/10µm,Segment,8,3,1,100000004,510000023681,
0,1/10µm,Segment,9,3,1,100000004,510000023687,
19.0128,1/10µm,Segment,4,2,1,100000005,510000023705,
0,1/10µm,Segment,3,2,1,100000005,510000023718,
0,1/10µm,Segment,2,2,1,100000005,510000023725,
0,1/10µm,Segment,1,2,1,100000005,510000023749,
7.53963,1/10µm,Segment,0,1,1,100000005,510000023776,
9.40034,1/10µm,Segment,11,6,1,100000005,510000023804,
0,1/10µm,Segment,10,6,1,100000005,510000023810,
0,1/10µm,Segment,9,5,1,100000005,510000023815,
0,1/10µm,Segment,8,5,1,100000005,510000023836,
12.6302,1/10µm,Segment,6,3,1,100000005,510000023844,
3.47608,1/10µm,Segment,5,3,1,100000005,510000023868,
16.6997,1/10µm,Segment,4,3,1,100000005,510000023903,
0,1/10µm,Segment,9,6,1,100000005,510000023911,
0,1/10µm,Segment,11,7,1,100000005,510000023914,
0,1/10µm,Segment,10,5,1,100000005,510000023917,
0,1/10µm,Segment,11,6,1,100000005,510000023945,
0,1/10µm,Segment,10,5,1,100000005,510000023948,
0,1/10µm,Segment,9,4,1,100000005,510000023962,
0,1/10µm,Segment,8,4,1,100000005,510000023966,
0,1/10µm,Segment,11,5,1,100000005,510000023972,
0,1/10µm,Segment,10,4,1,100000005,510000023980,
0,1/10µm,Segment,11,4,1,100000005,510000023983,
0,1/10µm,Segment,11,5,1,100000005,510000023986,
0,1/10µm,Segment,8,4,1,100000005,510000023999,
11.4994,1/10µm,Segment,9,3,1,100000005,510000024007,
0,1/10µm,Segment,9,5,1,100000005,510000024011,
0,1/10µm,Segment,9,4,1,100000005,510000024016,
0,1/10µm,Segment,6,4,1,100000005,510000024021,
0,1/10µm,Segment,3,3,1,100000005,510000024037,
0,1/10µm,Segment,2,3,1,100000005,510000024046,
26.6494,1/10µm,Segment,5,4,1,100000005,510000024063,
6.86178,1/10µm,Segment,5,3,1,100000005,510000024079,
0,1/10µm,Segment,4,3,1,100000005,510000024103,
0,1/10µm,Segment,3,3,1,100000005,510000024105,
0,1/10µm,Segment,5,4,1,100000005,510000024109,
0,1/10µm,Segment,3,4,1,100000005,510000024112,
0,1/10µm,Segment,4,4,1,100000005,510000024120,
0,1/10µm,Segment,1,1,1,100000005,510000024128,
7.02504,1/10µm,Segment,14,8,1,100000004,510000024141,
0,1/10µm,Segment,13,8,1,100000004,510000024160,
0,1/10µm,Segment,11,8,1,100000004,510000024201,
2.56431,1/10µm,Segment,10,7,1,100000004,510000024242,
11.3819,1/10µm,Segment,9,6,1,100000004,510000024248,
2.40509,1/10µm,Segment,8,6,1,100000004,510000024292,
4.54517,1/10µm,Segment,7,5,1,100000004,510000024319,
0,1/10µm,Segment,6,4,1,100000004,510000024321,
7.70707,1/10µm,Segment,5,4,1,100000004,510000024333,
0,1/10µm,Segment,4,3,1,100000004,510000024341,
0,1/10µm,Segment,3,2,1,100000004,510000024356,
0,1/10µm,Segment,2,1,1,100000004,510000024359,
0,1/10µm,Segment,0,1,1,100000004,510000024374,
0,1/10µm,Segment,14,9,1,100000004,510000024385,
6.43329,1/10µm,Segment,13,9,1,100000004,510000024396,
0,1/10µm,Segment,12,9,1,100000004,510000024398,
0,1/10µm,Segment,12,6,1,100000005,510000024431,
0,1/10µm,Segment,11,5,1,100000005,510000024455,
14.0749,1/10µm,Segment,10,5,1,100000005,510000024471,
0,1/10µm,Segment,9,5,1,100000005,510000024522,
11.3545,1/10µm,Segment,8,4,1,100000005,510000024553,
2.57724,1/10µm,Segment,6,4,1,100000005,510000024652,
0,1/10µm,Segment,5,4,1,100000005,510000024660,
