
Spine Center Number of Voxel Ch=2 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
8,,Spine,2,8,Image 1,4,1,100000005,610000029303,
10,,Spine,2,0,Image 1,1,1,100000004,610000029312,
4,,Spine,2,5,Image 1,4,1,100000003,610000029315,
3,,Spine,2,5,Image 1,3,1,100000005,610000029318,
3,,Spine,2,11,Image 1,7,1,100000004,610000029320,
4,,Spine,2,13,Image 1,4,1,100000004,610000029323,
3,,Spine,2,7,Image 1,5,1,100000004,610000029325,
9,,Spine,2,11,Image 1,2,1,100000003,610000029335,
4,,Spine,2,2,Image 1,3,1,100000004,610000029338,
13,,Spine,2,4,Image 1,4,1,100000003,610000029350,
3,,Spine,2,21,Image 1,10,1,100000003,610000029352,
14,,Spine,2,4,Image 1,4,1,100000003,610000029365,
4,,Spine,2,0,Image 1,1,1,100000004,610000029368,
3,,Spine,2,18,Image 1,7,1,100000003,610000029370,
5,,Spine,2,0,Image 1,1,1,100000004,610000029376,
3,,Spine,2,3,Image 1,3,1,100000005,610000029378,
4,,Spine,2,4,Image 1,1,1,100000004,610000029381,
3,,Spine,2,12,Image 1,8,1,100000004,610000029383,
5,,Spine,2,9,Image 1,4,1,100000003,610000029387,
4,,Spine,2,0,Image 1,1,1,100000005,610000029390,
4,,Spine,2,9,Image 1,4,1,100000005,610000029393,
8,,Spine,2,0,Image 1,1,1,100000005,610000029401,
5,,Spine,2,0,Image 1,1,1,100000003,610000029406,
3,,Spine,2,7,Image 1,6,1,100000004,610000029408,
3,,Spine,2,11,Image 1,6,1,100000005,610000029410,
5,,Spine,2,4,Image 1,3,1,100000005,610000029415,
3,,Spine,2,10,Image 1,6,1,100000003,610000029417,
4,,Spine,2,4,Image 1,2,1,100000004,610000029421,
10,,Spine,2,4,Image 1,4,1,100000003,610000029430,
11,,Spine,2,4,Image 1,4,1,100000003,610000029441,
3,,Spine,2,7,Image 1,3,1,100000005,610000029443,
7,,Spine,2,0,Image 1,1,1,100000004,610000029450,
3,,Spine,2,13,Image 1,8,1,100000003,610000029452,
4,,Spine,2,14,Image 1,7,1,100000003,610000029455,
5,,Spine,2,5,Image 1,4,1,100000005,610000029459,
4,,Spine,2,0,Image 1,1,1,100000005,610000029462,
6,,Spine,2,4,Image 1,4,1,100000003,610000029467,
5,,Spine,2,11,Image 1,5,1,100000003,610000029471,
4,,Spine,2,9,Image 1,4,1,100000003,610000029474,
3,,Spine,2,13,Image 1,3,1,100000004,610000029476,
4,,Spine,2,12,Image 1,8,1,100000004,610000029479,
4,,Spine,2,4,Image 1,3,1,100000005,610000029482,
5,,Spine,2,0,Image 1,1,1,100000004,610000029486,
4,,Spine,2,0,Image 1,1,1,100000004,610000029490,
4,,Spine,2,0,Image 1,1,1,100000005,610000029493,
5,,Spine,2,7,Image 1,3,1,100000003,610000029497,
3,,Spine,2,26,Image 1,10,1,100000003,610000029501,
3,,Spine,2,4,Image 1,2,1,100000005,610000029503,
6,,Spine,2,5,Image 1,3,1,100000005,610000029509,
6,,Spine,2,11,Image 1,4,1,100000003,610000029514,
4,,Spine,2,0,Image 1,1,1,100000004,610000029518,
10,,Spine,2,4,Image 1,4,1,100000003,610000029527,
5,,Spine,2,13,Image 1,7,1,100000003,610000029532,
3,,Spine,2,4,Image 1,3,1,100000005,610000029534,
3,,Spine,2,0,Image 1,1,1,100000005,610000029536,
5,,Spine,2,4,Image 1,4,1,100000003,610000029540,
3,,Spine,2,2,Image 1,1,1,100000005,610000029542,
7,,Spine,2,0,Image 1,1,1,100000004,610000029548,
4,,Spine,2,12,Image 1,7,1,100000003,610000029552,
3,,Spine,2,4,Image 1,4,1,100000003,610000029554,
4,,Spine,2,4,Image 1,1,1,100000004,610000029557,
5,,Spine,2,7,Image 1,4,1,100000003,610000029561,
5,,Spine,2,4,Image 1,2,1,100000005,610000029565,
3,,Spine,2,4,Image 1,4,1,100000003,610000029568,
4,,Spine,2,4,Image 1,4,1,100000003,610000029571,
3,,Spine,2,10,Image 1,6,1,100000003,610000029573,
3,,Spine,2,10,Image 1,5,1,100000003,610000029575,
4,,Spine,2,4,Image 1,3,1,100000005,610000029579,
3,,Spine,2,10,Image 1,5,1,100000003,610000029581,
6,,Spine,2,11,Image 1,2,1,100000003,610000029588,
3,,Spine,2,5,Image 1,3,1,100000003,610000029590,
3,,Spine,2,7,Image 1,2,1,100000004,610000029592,
3,,Spine,2,13,Image 1,9,1,100000004,610000029597,
4,,Spine,2,0,Image 1,1,1,100000004,610000029600,
6,,Spine,2,4,Image 1,4,1,100000003,610000029606,
3,,Spine,2,6,Image 1,4,1,100000005,610000029609,
4,,Spine,2,7,Image 1,3,1,100000003,610000029613,
2,,Spine,2,0,Image 1,1,1,100000005,610000029615,
5,,Spine,2,11,Image 1,4,1,100000003,610000029621,
5,,Spine,2,0,Image 1,1,1,100000005,610000029626,
3,,Spine,2,3,Image 1,2,1,100000005,610000029628,
3,,Spine,2,6,Image 1,5,1,100000005,610000029630,
4,,Spine,2,4,Image 1,2,1,100000005,610000029633,
3,,Spine,2,7,Image 1,3,1,100000003,610000029635,
3,,Spine,2,4,Image 1,3,1,100000005,610000029639,
5,,Spine,2,5,Image 1,4,1,100000005,610000029643,
3,,Spine,2,15,Image 1,2,1,100000003,610000029649,
3,,Spine,2,8,Image 1,4,1,100000005,610000029651,
3,,Spine,2,25,Image 1,11,1,100000003,610000029653,
3,,Spine,2,3,Image 1,3,1,100000004,610000029656,
4,,Spine,2,1,Image 1,2,1,100000003,610000029660,
3,,Spine,2,6,Image 1,3,1,100000005,610000029664,
3,,Spine,2,12,Image 1,4,1,100000004,610000029667,
3,,Spine,2,8,Image 1,3,1,100000004,610000029670,
3,,Spine,2,4,Image 1,1,1,100000005,610000029672,
3,,Spine,2,4,Image 1,3,1,100000005,610000029682,
4,,Spine,2,7,Image 1,3,1,100000003,610000029689,
3,,Spine,2,0,Image 1,1,1,100000003,610000029693,
4,,Spine,2,0,Image 1,1,1,100000003,610000029696,
3,,Spine,2,0,Image 1,1,1,100000003,610000029699,
3,,Spine,2,5,Image 1,3,1,100000005,610000029701,
5,,Spine,2,13,Image 1,8,1,100000003,610000029706,
3,,Spine,2,0,Image 1,1,1,100000004,610000029708,
4,,Spine,2,11,Image 1,4,1,100000003,610000029714,
2,,Spine,2,0,Image 1,1,1,100000005,610000029716,
3,,Spine,2,0,Image 1,1,1,100000003,610000029719,
3,,Spine,2,2,Image 1,2,1,100000003,610000029721,
3,,Spine,2,7,Image 1,4,1,100000003,610000029723,
3,,Spine,2,11,Image 1,2,1,100000003,610000029725,
4,,Spine,2,7,Image 1,4,1,100000003,610000029728,
3,,Spine,2,4,Image 1,1,1,100000004,610000029731,
3,,Spine,2,7,Image 1,4,1,100000003,610000029733,
3,,Spine,2,1,Image 1,2,1,100000003,610000029735,
3,,Spine,2,8,Image 1,4,1,100000003,610000029737,
3,,Spine,2,4,Image 1,2,1,100000005,610000029740,
5,,Spine,2,7,Image 1,4,1,100000003,610000029746,
3,,Spine,2,11,Image 1,3,1,100000003,610000029749,
4,,Spine,2,7,Image 1,2,1,100000004,610000029752,
6,,Spine,2,4,Image 1,4,1,100000003,610000029757,
3,,Spine,2,4,Image 1,3,1,100000003,610000029761,
4,,Spine,2,0,Image 1,1,1,100000005,610000029765,
3,,Spine,2,9,Image 1,4,1,100000003,610000029768,
3,,Spine,2,5,Image 1,3,1,100000005,610000029771,
3,,Spine,2,2,Image 1,2,1,100000003,610000029776,
4,,Spine,2,0,Image 1,1,1,100000003,610000029785,
3,,Spine,2,0,Image 1,1,1,100000003,610000029791,
3,,Spine,2,2,Image 1,3,1,100000003,610000029793,
3,,Spine,2,5,Image 1,3,1,100000005,610000029796,
3,,Spine,2,14,Image 1,8,1,100000004,610000029800,
3,,Spine,2,1,Image 1,2,1,100000003,610000029802,
3,,Spine,2,1,Image 1,2,1,100000003,610000029804,
3,,Spine,2,0,Image 1,1,1,100000005,610000029810,
2,,Spine,2,0,Image 1,1,1,100000003,610000029813,
3,,Spine,2,2,Image 1,3,1,100000003,610000029816,
2,,Spine,2,0,Image 1,1,1,100000003,610000029819,
3,,Spine,2,3,Image 1,2,1,100000004,610000029824,
3,,Spine,2,13,Image 1,3,1,100000004,610000029828,
3,,Spine,2,0,Image 1,1,1,100000005,610000029833,
5,,Spine,2,11,Image 1,4,1,100000003,610000029837,
3,,Spine,2,10,Image 1,6,1,100000003,610000029842,
3,,Spine,2,0,Image 1,1,1,100000005,610000029846,
3,,Spine,2,0,Image 1,1,1,100000004,610000029852,
3,,Spine,2,11,Image 1,4,1,100000003,610000029864,
2,,Spine,2,0,Image 1,1,1,100000003,610000029871,
2,,Spine,2,0,Image 1,1,1,100000005,610000029878,
3,,Spine,2,4,Image 1,4,1,100000003,610000029888,
3,,Spine,2,7,Image 1,2,1,100000004,610000029891,
3,,Spine,2,2,Image 1,2,1,100000003,610000029898,
3,,Spine,2,6,Image 1,3,1,100000003,610000029900,
3,,Spine,2,10,Image 1,5,1,100000003,610000029907,
2,,Spine,2,0,Image 1,1,1,100000003,610000029935,
2,,Spine,2,12,Image 1,6,1,100000003,610000029948,
2,,Spine,2,11,Image 1,6,1,100000003,610000029949,
2,,Spine,2,11,Image 1,7,1,100000003,610000029950,
2,,Spine,2,10,Image 1,6,1,100000003,610000029951,
2,,Spine,2,10,Image 1,6,1,100000003,610000029952,
2,,Spine,2,10,Image 1,6,1,100000003,610000029953,
2,,Spine,2,10,Image 1,6,1,100000003,610000029954,
2,,Spine,2,8,Image 1,5,1,100000003,610000029955,
2,,Spine,2,4,Image 1,3,1,100000003,610000029956,
2,,Spine,2,3,Image 1,3,1,100000003,610000029957,
2,,Spine,2,3,Image 1,4,1,100000003,610000029958,
2,,Spine,2,3,Image 1,4,1,100000003,610000029959,
2,,Spine,2,26,Image 1,10,1,100000003,610000029960,
2,,Spine,2,26,Image 1,10,1,100000003,610000029961,
2,,Spine,2,21,Image 1,10,1,100000003,610000029962,
2,,Spine,2,19,Image 1,10,1,100000003,610000029963,
2,,Spine,2,18,Image 1,8,1,100000003,610000029964,
2,,Spine,2,17,Image 1,9,1,100000003,610000029965,
2,,Spine,2,18,Image 1,7,1,100000003,610000029966,
2,,Spine,2,18,Image 1,7,1,100000003,610000029967,
2,,Spine,2,15,Image 1,8,1,100000003,610000029968,
2,,Spine,2,14,Image 1,7,1,100000003,610000029969,
2,,Spine,2,13,Image 1,8,1,100000003,610000029970,
2,,Spine,2,13,Image 1,8,1,100000003,610000029971,
2,,Spine,2,13,Image 1,8,1,100000003,610000029972,
2,,Spine,2,12,Image 1,7,1,100000003,610000029973,
2,,Spine,2,14,Image 1,7,1,100000003,610000029974,
2,,Spine,2,14,Image 1,7,1,100000003,610000029975,
2,,Spine,2,10,Image 1,6,1,100000003,610000029976,
2,,Spine,2,8,Image 1,4,1,100000003,610000029977,
2,,Spine,2,10,Image 1,6,1,100000003,610000029978,
2,,Spine,2,10,Image 1,5,1,100000003,610000029979,
2,,Spine,2,11,Image 1,5,1,100000003,610000029980,
2,,Spine,2,11,Image 1,5,1,100000003,610000029981,
2,,Spine,2,7,Image 1,4,1,100000003,610000029982,
2,,Spine,2,17,Image 1,3,1,100000003,610000029983,
2,,Spine,2,16,Image 1,4,1,100000003,610000029984,
2,,Spine,2,11,Image 1,2,1,100000003,610000029985,
2,,Spine,2,11,Image 1,2,1,100000003,610000029986,
2,,Spine,2,11,Image 1,2,1,100000003,610000029987,
2,,Spine,2,10,Image 1,2,1,100000003,610000029988,
2,,Spine,2,10,Image 1,2,1,100000003,610000029989,
2,,Spine,2,11,Image 1,4,1,100000003,610000029990,
2,,Spine,2,11,Image 1,4,1,100000003,610000029991,
2,,Spine,2,11,Image 1,3,1,100000003,610000029992,
2,,Spine,2,10,Image 1,3,1,100000003,610000029993,
2,,Spine,2,10,Image 1,3,1,100000003,610000029994,
2,,Spine,2,10,Image 1,3,1,100000003,610000029995,
2,,Spine,2,10,Image 1,3,1,100000003,610000029996,
2,,Spine,2,8,Image 1,2,1,100000003,610000029997,
2,,Spine,2,7,Image 1,2,1,100000003,610000029998,
2,,Spine,2,7,Image 1,3,1,100000003,610000029999,
2,,Spine,2,7,Image 1,4,1,100000003,610000030000,
2,,Spine,2,9,Image 1,5,1,100000003,610000030001,
2,,Spine,2,11,Image 1,4,1,100000003,610000030002,
2,,Spine,2,10,Image 1,4,1,100000003,610000030003,
2,,Spine,2,10,Image 1,5,1,100000003,610000030004,
2,,Spine,2,6,Image 1,4,1,100000003,610000030005,
2,,Spine,2,5,Image 1,3,1,100000003,610000030006,
2,,Spine,2,5,Image 1,3,1,100000003,610000030007,
2,,Spine,2,3,Image 1,2,1,100000003,610000030008,
2,,Spine,2,4,Image 1,4,1,100000003,610000030009,
2,,Spine,2,4,Image 1,4,1,100000003,610000030010,
2,,Spine,2,4,Image 1,4,1,100000003,610000030011,
2,,Spine,2,4,Image 1,4,1,100000003,610000030012,
2,,Spine,2,4,Image 1,4,1,100000003,610000030013,
2,,Spine,2,4,Image 1,4,1,100000003,610000030014,
2,,Spine,2,6,Image 1,3,1,100000003,610000030015,
2,,Spine,2,3,Image 1,3,1,100000003,610000030016,
2,,Spine,2,2,Image 1,2,1,100000003,610000030017,
2,,Spine,2,1,Image 1,2,1,100000003,610000030018,
2,,Spine,2,1,Image 1,2,1,100000003,610000030019,
2,,Spine,2,2,Image 1,1,1,100000003,610000030020,
2,,Spine,2,7,Image 1,7,1,100000004,610000030028,
2,,Spine,2,6,Image 1,5,1,100000004,610000030029,
2,,Spine,2,13,Image 1,7,1,100000004,610000030030,
2,,Spine,2,13,Image 1,7,1,100000004,610000030031,
2,,Spine,2,12,Image 1,7,1,100000004,610000030032,
2,,Spine,2,12,Image 1,7,1,100000004,610000030033,
2,,Spine,2,12,Image 1,8,1,100000004,610000030034,
2,,Spine,2,11,Image 1,7,1,100000004,610000030035,
2,,Spine,2,11,Image 1,7,1,100000004,610000030036,
2,,Spine,2,10,Image 1,7,1,100000004,610000030037,
2,,Spine,2,6,Image 1,5,1,100000004,610000030038,
2,,Spine,2,4,Image 1,4,1,100000004,610000030039,
2,,Spine,2,12,Image 1,4,1,100000004,610000030040,
2,,Spine,2,14,Image 1,4,1,100000004,610000030041,
2,,Spine,2,14,Image 1,3,1,100000004,610000030042,
2,,Spine,2,14,Image 1,3,1,100000004,610000030043,
2,,Spine,2,13,Image 1,3,1,100000004,610000030044,
2,,Spine,2,11,Image 1,3,1,100000004,610000030045,
2,,Spine,2,10,Image 1,2,1,100000004,610000030046,
2,,Spine,2,9,Image 1,2,1,100000004,610000030047,
2,,Spine,2,5,Image 1,2,1,100000004,610000030048,
2,,Spine,2,5,Image 1,2,1,100000004,610000030049,
2,,Spine,2,5,Image 1,2,1,100000004,610000030050,
2,,Spine,2,3,Image 1,2,1,100000004,610000030051,
2,,Spine,2,3,Image 1,3,1,100000004,610000030052,
2,,Spine,2,2,Image 1,3,1,100000004,610000030053,
2,,Spine,2,0,Image 1,1,1,100000004,610000030054,
2,,Spine,2,0,Image 1,1,1,100000004,610000030055,
2,,Spine,2,0,Image 1,1,1,100000004,610000030062,
2,,Spine,2,10,Image 1,7,1,100000004,610000030063,
2,,Spine,2,9,Image 1,6,1,100000004,610000030064,
2,,Spine,2,8,Image 1,6,1,100000004,610000030065,
2,,Spine,2,6,Image 1,5,1,100000004,610000030066,
2,,Spine,2,5,Image 1,4,1,100000004,610000030067,
2,,Spine,2,5,Image 1,2,1,100000004,610000030068,
2,,Spine,2,3,Image 1,2,1,100000004,610000030069,
2,,Spine,2,3,Image 1,2,1,100000004,610000030070,
2,,Spine,2,2,Image 1,2,1,100000004,610000030071,
2,,Spine,2,2,Image 1,2,1,100000004,610000030072,
2,,Spine,2,6,Image 1,5,1,100000004,610000030073,
2,,Spine,2,0,Image 1,1,1,100000004,610000030074,
2,,Spine,2,6,Image 1,3,1,100000004,610000030075,
2,,Spine,2,6,Image 1,3,1,100000004,610000030076,
2,,Spine,2,5,Image 1,2,1,100000004,610000030077,
2,,Spine,2,5,Image 1,2,1,100000004,610000030078,
2,,Spine,2,4,Image 1,1,1,100000004,610000030079,
2,,Spine,2,4,Image 1,2,1,100000004,610000030080,
2,,Spine,2,4,Image 1,2,1,100000005,610000030082,
2,,Spine,2,9,Image 1,3,1,100000005,610000030083,
2,,Spine,2,5,Image 1,3,1,100000005,610000030084,
2,,Spine,2,5,Image 1,4,1,100000005,610000030085,
2,,Spine,2,5,Image 1,4,1,100000005,610000030086,
2,,Spine,2,4,Image 1,3,1,100000005,610000030087,
2,,Spine,2,4,Image 1,3,1,100000005,610000030088,
2,,Spine,2,4,Image 1,3,1,100000005,610000030089,
2,,Spine,2,5,Image 1,3,1,100000005,610000030090,
2,,Spine,2,5,Image 1,3,1,100000005,610000030095,
2,,Spine,2,5,Image 1,3,1,100000005,610000030096,
2,,Spine,2,0,Image 1,1,1,100000005,610000030097,
2,,Spine,2,0,Image 1,1,1,100000005,610000030098,
2,,Spine,2,10,Image 1,5,1,100000005,610000030099,
2,,Spine,2,10,Image 1,5,1,100000005,610000030100,
1,,Spine,2,9,Image 1,4,1,100000005,610000030101,
2,,Spine,2,9,Image 1,4,1,100000005,610000030102,
2,,Spine,2,8,Image 1,4,1,100000005,610000030103,
2,,Spine,2,6,Image 1,4,1,100000005,610000030104,
2,,Spine,2,4,Image 1,3,1,100000005,610000030105,
2,,Spine,2,4,Image 1,3,1,100000005,610000030106,
2,,Spine,2,5,Image 1,3,1,100000005,610000030107,
2,,Spine,2,5,Image 1,3,1,100000005,610000030108,
2,,Spine,2,5,Image 1,3,1,100000005,610000030109,
2,,Spine,2,5,Image 1,2,1,100000005,610000030110,
2,,Spine,2,4,Image 1,2,1,100000005,610000030111,
2,,Spine,2,4,Image 1,2,1,100000005,610000030112,
2,,Spine,2,2,Image 1,2,1,100000005,610000030113,
2,,Spine,2,3,Image 1,3,1,100000005,610000030114,
2,,Spine,2,3,Image 1,3,1,100000005,610000030115,
2,,Spine,2,2,Image 1,3,1,100000005,610000030116,
2,,Spine,2,4,Image 1,1,1,100000005,610000030117,
2,,Spine,2,4,Image 1,1,1,100000005,610000030118,
2,,Spine,2,4,Image 1,1,1,100000005,610000030119,
2,,Spine,2,1,Image 1,2,1,100000005,610000030120,
