
Spine Branch Level
 ==================== 
Spine Branch Level,Unit,Category,Depth,Level,Time,FilamentID,ID,
4,,Spine,8,4,1,100000005,610000029303,
1,,Spine,0,1,1,100000004,610000029312,
4,,Spine,5,4,1,100000003,610000029315,
3,,Spine,5,3,1,100000005,610000029318,
7,,Spine,11,7,1,100000004,610000029320,
4,,Spine,13,4,1,100000004,610000029323,
5,,Spine,7,5,1,100000004,610000029325,
2,,Spine,11,2,1,100000003,610000029335,
3,,Spine,2,3,1,100000004,610000029338,
4,,Spine,4,4,1,100000003,610000029350,
10,,Spine,21,10,1,100000003,610000029352,
4,,Spine,4,4,1,100000003,610000029365,
1,,Spine,0,1,1,100000004,610000029368,
7,,Spine,18,7,1,100000003,610000029370,
0,,Spine,0,1,1,100000004,610000029376,
3,,Spine,3,3,1,100000005,610000029378,
1,,Spine,4,1,1,100000004,610000029381,
8,,Spine,12,8,1,100000004,610000029383,
4,,Spine,9,4,1,100000003,610000029387,
1,,Spine,0,1,1,100000005,610000029390,
4,,Spine,9,4,1,100000005,610000029393,
1,,Spine,0,1,1,100000005,610000029401,
0,,Spine,0,1,1,100000003,610000029406,
6,,Spine,7,6,1,100000004,610000029408,
6,,Spine,11,6,1,100000005,610000029410,
3,,Spine,4,3,1,100000005,610000029415,
6,,Spine,10,6,1,100000003,610000029417,
2,,Spine,4,2,1,100000004,610000029421,
4,,Spine,4,4,1,100000003,610000029430,
4,,Spine,4,4,1,100000003,610000029441,
3,,Spine,7,3,1,100000005,610000029443,
0,,Spine,0,1,1,100000004,610000029450,
8,,Spine,13,8,1,100000003,610000029452,
7,,Spine,14,7,1,100000003,610000029455,
4,,Spine,5,4,1,100000005,610000029459,
1,,Spine,0,1,1,100000005,610000029462,
4,,Spine,4,4,1,100000003,610000029467,
5,,Spine,11,5,1,100000003,610000029471,
4,,Spine,9,4,1,100000003,610000029474,
3,,Spine,13,3,1,100000004,610000029476,
8,,Spine,12,8,1,100000004,610000029479,
3,,Spine,4,3,1,100000005,610000029482,
1,,Spine,0,1,1,100000004,610000029486,
0,,Spine,0,1,1,100000004,610000029490,
1,,Spine,0,1,1,100000005,610000029493,
3,,Spine,7,3,1,100000003,610000029497,
10,,Spine,26,10,1,100000003,610000029501,
2,,Spine,4,2,1,100000005,610000029503,
3,,Spine,5,3,1,100000005,610000029509,
4,,Spine,11,4,1,100000003,610000029514,
0,,Spine,0,1,1,100000004,610000029518,
4,,Spine,4,4,1,100000003,610000029527,
7,,Spine,13,7,1,100000003,610000029532,
3,,Spine,4,3,1,100000005,610000029534,
1,,Spine,0,1,1,100000005,610000029536,
4,,Spine,4,4,1,100000003,610000029540,
1,,Spine,2,1,1,100000005,610000029542,
1,,Spine,0,1,1,100000004,610000029548,
7,,Spine,12,7,1,100000003,610000029552,
4,,Spine,4,4,1,100000003,610000029554,
1,,Spine,4,1,1,100000004,610000029557,
4,,Spine,7,4,1,100000003,610000029561,
2,,Spine,4,2,1,100000005,610000029565,
4,,Spine,4,4,1,100000003,610000029568,
4,,Spine,4,4,1,100000003,610000029571,
6,,Spine,10,6,1,100000003,610000029573,
5,,Spine,10,5,1,100000003,610000029575,
3,,Spine,4,3,1,100000005,610000029579,
5,,Spine,10,5,1,100000003,610000029581,
2,,Spine,11,2,1,100000003,610000029588,
3,,Spine,5,3,1,100000003,610000029590,
2,,Spine,7,2,1,100000004,610000029592,
