
Segment Position Y
 ==================== 
Segment Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
20520.2,µm,Segment,Segment Position,8,6,1,100000004,510000022293,
20521.7,µm,Segment,Segment Position,7,6,1,100000004,510000022339,
20520.5,µm,Segment,Segment Position,6,6,1,100000004,510000022364,
20518.4,µm,Segment,Segment Position,5,5,1,100000004,510000022426,
20517.8,µm,Segment,Segment Position,4,4,1,100000004,510000022436,
20518.8,µm,Segment,Segment Position,3,4,1,100000004,510000022448,
20522,µm,Segment,Segment Position,2,3,1,100000004,510000022523,
20526,µm,Segment,Segment Position,1,2,1,100000004,510000022551,
20527.3,µm,Segment,Segment Position,0,1,1,100000004,510000022567,
20520.6,µm,Segment,Segment Position,8,7,1,100000004,510000022578,
20520.9,µm,Segment,Segment Position,7,7,1,100000004,510000022593,
20510.4,µm,Segment,Segment Position,16,8,1,100000004,510000022610,
20510.7,µm,Segment,Segment Position,15,8,1,100000004,510000022615,
20512.4,µm,Segment,Segment Position,14,8,1,100000004,510000022659,
20514.5,µm,Segment,Segment Position,13,7,1,100000004,510000022672,
20514.9,µm,Segment,Segment Position,12,7,1,100000004,510000022681,
20513.3,µm,Segment,Segment Position,11,7,1,100000004,510000022721,
20513.2,µm,Segment,Segment Position,10,7,1,100000004,510000022740,
20515.4,µm,Segment,Segment Position,9,6,1,100000004,510000022784,
20516.5,µm,Segment,Segment Position,8,5,1,100000004,510000022786,
20516.9,µm,Segment,Segment Position,7,5,1,100000004,510000022819,
20516.5,µm,Segment,Segment Position,6,5,1,100000004,510000022825,
20517,µm,Segment,Segment Position,5,4,1,100000004,510000022832,
20510,µm,Segment,Segment Position,15,9,1,100000004,510000022855,
20510.2,µm,Segment,Segment Position,16,9,1,100000004,510000022862,
20515,µm,Segment,Segment Position,14,8,1,100000004,510000022878,
20514.5,µm,Segment,Segment Position,13,8,1,100000004,510000022885,
20514.7,µm,Segment,Segment Position,12,8,1,100000004,510000022891,
20513.8,µm,Segment,Segment Position,14,7,1,100000004,510000022894,
20515.2,µm,Segment,Segment Position,13,8,1,100000004,510000022906,
20514.4,µm,Segment,Segment Position,14,9,1,100000004,510000022914,
20515.1,µm,Segment,Segment Position,12,8,1,100000004,510000022924,
20514.5,µm,Segment,Segment Position,13,9,1,100000004,510000022928,
20511.9,µm,Segment,Segment Position,11,8,1,100000004,510000022947,
20513.8,µm,Segment,Segment Position,10,6,1,100000004,510000022953,
20522.9,µm,Segment,Segment Position,13,7,1,100000003,510000022979,
20521.5,µm,Segment,Segment Position,12,6,1,100000003,510000022999,
20520.2,µm,Segment,Segment Position,11,6,1,100000003,510000023027,
20519.5,µm,Segment,Segment Position,10,6,1,100000003,510000023130,
20520.8,µm,Segment,Segment Position,9,5,1,100000003,510000023140,
20521.9,µm,Segment,Segment Position,8,4,1,100000003,510000023159,
20522.7,µm,Segment,Segment Position,7,4,1,100000003,510000023162,
20522.8,µm,Segment,Segment Position,6,4,1,100000003,510000023168,
20523.4,µm,Segment,Segment Position,5,4,1,100000003,510000023181,
20524.7,µm,Segment,Segment Position,4,4,1,100000003,510000023198,
20525.4,µm,Segment,Segment Position,3,3,1,100000003,510000023204,
20526.7,µm,Segment,Segment Position,2,3,1,100000003,510000023226,
20528.9,µm,Segment,Segment Position,1,2,1,100000003,510000023258,
20530.1,µm,Segment,Segment Position,0,1,1,100000003,510000023264,
20522.1,µm,Segment,Segment Position,13,6,1,100000003,510000023281,
20520.7,µm,Segment,Segment Position,12,7,1,100000003,510000023288,
20519.2,µm,Segment,Segment Position,11,7,1,100000003,510000023301,
20522.2,µm,Segment,Segment Position,7,6,1,100000004,510000023322,
20520.6,µm,Segment,Segment Position,6,5,1,100000004,510000023343,
20521.5,µm,Segment,Segment Position,7,5,1,100000004,510000023345,
20521.7,µm,Segment,Segment Position,12,4,1,100000004,510000023362,
20521.9,µm,Segment,Segment Position,11,3,1,100000004,510000023370,
20520.8,µm,Segment,Segment Position,10,2,1,100000004,510000023385,
20520,µm,Segment,Segment Position,9,2,1,100000004,510000023407,
20518.9,µm,Segment,Segment Position,8,2,1,100000004,510000023413,
20519.6,µm,Segment,Segment Position,7,2,1,100000004,510000023475,
20522.4,µm,Segment,Segment Position,6,2,1,100000004,510000023495,
20523.5,µm,Segment,Segment Position,5,2,1,100000004,510000023506,
20523.8,µm,Segment,Segment Position,4,2,1,100000004,510000023514,
20524.1,µm,Segment,Segment Position,3,2,1,100000004,510000023522,
20524.4,µm,Segment,Segment Position,2,2,1,100000004,510000023532,
20524.5,µm,Segment,Segment Position,14,4,1,100000004,510000023577,
20524,µm,Segment,Segment Position,13,3,1,100000004,510000023618,
20523,µm,Segment,Segment Position,12,3,1,100000004,510000023643,
20524.5,µm,Segment,Segment Position,14,3,1,100000004,510000023649,
