
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,ID,
1383.02,µm,Surface,Position,1,0,
1381.35,µm,Surface,Position,1,1,
1381.89,µm,Surface,Position,1,2,
1383.11,µm,Surface,Position,1,3,
