
Filament No. Segment Segments
 ==================== 
Filament No. Segment Segments,Unit,Category,Time,ID,
83,,Filament,1,100000000,
174,,Filament,1,100000001,
77,,Filament,1,100000002,
146,,Filament,1,100000003,
