
Filament Segment Volume (sum)
 ==================== 
Filament Segment Volume (sum),Unit,Category,Time,ID,
333.024,µm^3,Filament,1,100000000,
588.935,µm^3,Filament,1,100000001,
267.323,µm^3,Filament,1,100000002,
427.393,µm^3,Filament,1,100000003,
