
Spine Attachment Pt Branching Angle
 ==================== 
Spine Attachment Pt Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
91.7529,°,Spine,3,2,1,100000000,610000008048,
80.0804,°,Spine,3,3,1,100000002,610000008075,
92.9085,°,Spine,2,1,1,100000000,610000008086,
78.2909,°,Spine,5,3,1,100000003,610000008093,
82.2835,°,Spine,5,2,1,100000003,610000008101,
89.3261,°,Spine,9,4,1,100000003,610000008103,
90.8518,°,Spine,1,1,1,100000002,610000008108,
90.2184,°,Spine,1,1,1,100000001,610000008116,
83.4,°,Spine,4,3,1,100000003,610000008132,
83.5569,°,Spine,1,1,1,100000001,610000008140,
78.0838,°,Spine,12,6,1,100000003,610000008162,
50.5247,°,Spine,4,3,1,100000000,610000008186,
77.5744,°,Spine,14,6,1,100000003,610000008254,
84.4693,°,Spine,4,2,1,100000003,610000008259,
59.9446,°,Spine,2,3,1,100000000,610000008286,
82.6133,°,Spine,10,2,1,100000001,610000008305,
81.2298,°,Spine,1,2,1,100000000,610000008321,
56.349,°,Spine,5,3,1,100000003,610000008349,
85.8571,°,Spine,8,3,1,100000003,610000008354,
72.7765,°,Spine,9,3,1,100000001,610000008361,
65.0445,°,Spine,8,3,1,100000003,610000008363,
71.4432,°,Spine,10,4,1,100000003,610000008365,
77.0322,°,Spine,10,2,1,100000003,610000008372,
87.1079,°,Spine,10,4,1,100000003,610000008379,
93.4966,°,Spine,10,4,1,100000001,610000008384,
92.6526,°,Spine,5,1,1,100000001,610000008404,
107.512,°,Spine,7,3,1,100000001,610000008415,
82.142,°,Spine,0,1,1,100000000,610000008436,
84.4223,°,Spine,11,3,1,100000003,610000008439,
86.5751,°,Spine,7,3,1,100000001,610000008442,
86.3157,°,Spine,5,5,1,100000001,610000008446,
77.0155,°,Spine,4,3,1,100000001,610000008449,
85.3813,°,Spine,3,2,1,100000002,610000008459,
65.4042,°,Spine,8,2,1,100000001,610000008461,
81.1031,°,Spine,1,2,1,100000000,610000008463,
83.7384,°,Spine,4,1,1,100000001,610000008472,
