
Spine Part Min Diameter Ground
 ==================== 
Spine Part Min Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.416667,µm,Spine,Spine Part Min Diameter,4,3,1,100000001,610000008017,
0.416667,µm,Spine,Spine Part Min Diameter,4,3,1,100000001,610000008033,
0.416667,µm,Spine,Spine Part Min Diameter,3,2,1,100000000,610000008048,
0.416667,µm,Spine,Spine Part Min Diameter,3,3,1,100000002,610000008059,
0.416667,µm,Spine,Spine Part Min Diameter,3,3,1,100000002,610000008068,
0.416667,µm,Spine,Spine Part Min Diameter,3,3,1,100000002,610000008075,
0.416667,µm,Spine,Spine Part Min Diameter,2,1,1,100000000,610000008086,
0.416667,µm,Spine,Spine Part Min Diameter,5,3,1,100000003,610000008093,
0.416667,µm,Spine,Spine Part Min Diameter,5,2,1,100000003,610000008101,
0.43035,µm,Spine,Spine Part Min Diameter,9,4,1,100000003,610000008103,
0.416667,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000008108,
0.416667,µm,Spine,Spine Part Min Diameter,6,1,1,100000003,610000008113,
0.494054,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000008116,
0.416667,µm,Spine,Spine Part Min Diameter,3,3,1,100000002,610000008121,
0.416667,µm,Spine,Spine Part Min Diameter,3,3,1,100000002,610000008125,
0.454915,µm,Spine,Spine Part Min Diameter,4,3,1,100000003,610000008132,
0.416667,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000008140,
0.416667,µm,Spine,Spine Part Min Diameter,13,6,1,100000001,610000008144,
0.416667,µm,Spine,Spine Part Min Diameter,13,6,1,100000001,610000008147,
0.574588,µm,Spine,Spine Part Min Diameter,2,1,1,100000000,610000008154,
0.801588,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000008158,
0.802057,µm,Spine,Spine Part Min Diameter,12,6,1,100000003,610000008162,
0.574588,µm,Spine,Spine Part Min Diameter,2,1,1,100000000,610000008168,
0.574588,µm,Spine,Spine Part Min Diameter,2,1,1,100000000,610000008173,
0.625,µm,Spine,Spine Part Min Diameter,4,3,1,100000000,610000008186,
0.574588,µm,Spine,Spine Part Min Diameter,2,1,1,100000000,610000008192,
0.574588,µm,Spine,Spine Part Min Diameter,2,1,1,100000000,610000008197,
0.574588,µm,Spine,Spine Part Min Diameter,2,1,1,100000000,610000008201,
0.574588,µm,Spine,Spine Part Min Diameter,2,1,1,100000000,610000008205,
0.695737,µm,Spine,Spine Part Min Diameter,9,3,1,100000001,610000008218,
0.617302,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008223,
0.695737,µm,Spine,Spine Part Min Diameter,9,3,1,100000001,610000008233,
0.617302,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008238,
0.695737,µm,Spine,Spine Part Min Diameter,9,3,1,100000001,610000008250,
0.551649,µm,Spine,Spine Part Min Diameter,14,6,1,100000003,610000008254,
0.670738,µm,Spine,Spine Part Min Diameter,4,2,1,100000003,610000008259,
0.695737,µm,Spine,Spine Part Min Diameter,9,3,1,100000001,610000008268,
0.625,µm,Spine,Spine Part Min Diameter,12,4,1,100000001,610000008273,
1.02236,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008276,
0.625,µm,Spine,Spine Part Min Diameter,12,4,1,100000001,610000008281,
0.971275,µm,Spine,Spine Part Min Diameter,4,2,1,100000000,610000008284,
0.561381,µm,Spine,Spine Part Min Diameter,2,3,1,100000000,610000008286,
0.718643,µm,Spine,Spine Part Min Diameter,5,2,1,100000003,610000008291,
0.991299,µm,Spine,Spine Part Min Diameter,10,2,1,100000003,610000008298,
0.718643,µm,Spine,Spine Part Min Diameter,5,2,1,100000003,610000008303,
0.872396,µm,Spine,Spine Part Min Diameter,10,2,1,100000001,610000008305,
0.991299,µm,Spine,Spine Part Min Diameter,10,2,1,100000003,610000008311,
0.81635,µm,Spine,Spine Part Min Diameter,8,3,1,100000003,610000008319,
0.654297,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000008321,
1.00436,µm,Spine,Spine Part Min Diameter,2,3,1,100000001,610000008323,
1.04167,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000008326,
0.857055,µm,Spine,Spine Part Min Diameter,1,2,1,100000000,610000008328,
0.709071,µm,Spine,Spine Part Min Diameter,8,3,1,100000003,610000008335,
0.813618,µm,Spine,Spine Part Min Diameter,12,4,1,100000001,610000008338,
0.715354,µm,Spine,Spine Part Min Diameter,8,4,1,100000003,610000008340,
0.795567,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008346,
0.664803,µm,Spine,Spine Part Min Diameter,5,3,1,100000003,610000008349,
0.78438,µm,Spine,Spine Part Min Diameter,8,3,1,100000003,610000008354,
0.416667,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008359,
0.793176,µm,Spine,Spine Part Min Diameter,9,3,1,100000001,610000008361,
