
Filament Position Y
 ==================== 
Filament Position Y,Unit,Category,Collection,Time,ID,
17320.5,µm,Filament,Filament Position,1,100000000,
17252,µm,Filament,Filament Position,1,100000001,
17271.7,µm,Filament,Filament Position,1,100000002,
17305.8,µm,Filament,Filament Position,1,100000003,
