
Spine Center Intensity Mean Ch=5 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
107.25,,Spine,5,3,Image 1,1,1,100000000,610000008511,
51.6667,,Spine,5,2,Image 1,1,1,100000001,610000008518,
65.3333,,Spine,5,12,Image 1,5,1,100000001,610000008520,
79,,Spine,5,8,Image 1,3,1,100000003,610000008522,
66.6667,,Spine,5,7,Image 1,3,1,100000003,610000008525,
57,,Spine,5,9,Image 1,5,1,100000003,610000008529,
66.3333,,Spine,5,0,Image 1,1,1,100000000,610000008535,
68.3333,,Spine,5,4,Image 1,3,1,100000001,610000008538,
56.3333,,Spine,5,2,Image 1,1,1,100000002,610000008541,
42.6667,,Spine,5,5,Image 1,1,1,100000001,610000008544,
71.3333,,Spine,5,5,Image 1,1,1,100000001,610000008548,
59.3333,,Spine,5,11,Image 1,4,1,100000003,610000008555,
52.6667,,Spine,5,7,Image 1,3,1,100000000,610000008560,
86,,Spine,5,0,Image 1,1,1,100000001,610000008562,
85.6667,,Spine,5,9,Image 1,5,1,100000003,610000008565,
130.667,,Spine,5,3,Image 1,1,1,100000000,610000008567,
78.5,,Spine,5,0,Image 1,1,1,100000000,610000008584,
99,,Spine,5,0,Image 1,1,1,100000001,610000008597,
110.5,,Spine,5,2,Image 1,1,1,100000002,610000008602,
56.3333,,Spine,5,6,Image 1,3,1,100000001,610000008605,
88,,Spine,5,3,Image 1,2,1,100000000,610000008629,
89,,Spine,5,1,Image 1,1,1,100000001,610000008635,
106.333,,Spine,5,1,Image 1,2,1,100000002,610000008638,
98.5,,Spine,5,3,Image 1,3,1,100000000,610000008652,
58.5,,Spine,5,1,Image 1,2,1,100000000,610000008653,
42,,Spine,5,3,Image 1,3,1,100000000,610000008654,
50,,Spine,5,3,Image 1,3,1,100000000,610000008655,
61,,Spine,5,0,Image 1,1,1,100000000,610000008656,
102.5,,Spine,5,1,Image 1,2,1,100000000,610000008661,
46.5,,Spine,5,7,Image 1,3,1,100000000,610000008662,
66.5,,Spine,5,6,Image 1,3,1,100000000,610000008663,
