
Spine Part Min Diameter
 ==================== 
Spine Part Min Diameter Ground,Spine Part Min Diameter Head,Spine Part Min Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.617302,0.611976,0.716523,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008223,
0.617302,0.643056,0.716523,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008238,
1.02236,0.716523,0.617302,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008276,
0.795567,0.625,0.653605,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008346,
0.416667,0.416667,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008359,
0.416667,0.416667,0.431184,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008389,
0.416667,1.24293,0.416667,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008401,
1.21986,3.61641,2.91512,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008411,
0.501579,2.44227,1.72837,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008419,
0.860305,1.58854,1.54103,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008423,
1.38277,0.892081,1.20218,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008429,
0.689437,0.873361,1.51042,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008436,
0.638021,1.17742,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008456,
0.691993,0.417163,1.24513,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008468,
0.416667,0.804036,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008478,
0.81636,0.653605,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008493,
0.510728,0.912131,1.09499,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008507,
0.691737,1.80624,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008535,
0.952979,0.81636,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008562,
1.58854,1.64388,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008584,
0.893555,0.967204,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008597,
0.737974,0.970052,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008656,
1.22339,1.22339,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008672,
1.45424,1.45424,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008673,
0.903223,0.903223,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008674,
1.08781,1.08781,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000008679,
1.24654,1.24654,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008696,
0.513458,0.885417,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000001,610000008715,
1.29792,1.29792,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000008723,
0.99517,0.99517,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000008726,
0.838743,0.838743,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000008727,
0.716146,0.716146,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000002,610000008731,
1.07231,1.27617,0,µm,Spine,Spine Part Min Diameter,0,1,1,100000003,610000008773,
0.416667,0.416667,0.416667,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000008108,
0.494054,0.416667,0.429688,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000008116,
0.416667,0.464437,0.680499,µm,Spine,Spine Part Min Diameter,1,1,1,100000001,610000008140,
0.801588,0.416667,0,µm,Spine,Spine Part Min Diameter,1,1,1,100000002,610000008158,
1.04167,0.60575,1.34306,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000008326,
