
Soma Center of Homogeneous Mass
 ==================== 
Soma Center of Homogeneous Mass X,Soma Center of Homogeneous Mass Y,Soma Center of Homogeneous Mass Z,Unit,Category,Collection,Time,FilamentID,ID,
3609.54,17323.9,1379.22,µm,Soma,Soma Center of Homogeneous Mass,1,100000000,800000000,
3621.76,17254.9,1380.66,µm,Soma,Soma Center of Homogeneous Mass,1,100000001,800000001,
3682.46,17270.3,1384.58,µm,Soma,Soma Center of Homogeneous Mass,1,100000002,800000002,
3653.02,17289.9,1391.76,µm,Soma,Soma Center of Homogeneous Mass,1,100000003,800000003,
