
Intensity Sum Ch=4 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
215416,,Surface,4,Image 1,1,0,
502727,,Surface,4,Image 1,1,1,
81772,,Surface,4,Image 1,1,2,
116968,,Surface,4,Image 1,1,3,
