
Soma Intensity StdDev Ch=1 Img=1
 ==================== 
Soma Intensity StdDev,Unit,Category,Channel,Image,Time,FilamentID,ID,
1.43775,,Soma,1,Image 1,1,100000000,800000000,
4.06792,,Soma,1,Image 1,1,100000001,800000001,
1.22264,,Soma,1,Image 1,1,100000002,800000002,
2.7665,,Soma,1,Image 1,1,100000003,800000003,
