
Intensity StdDev Ch=1 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
4.01266,,Surface,1,Image 1,1,0,
2.62835,,Surface,1,Image 1,1,1,
6.11648,,Surface,1,Image 1,1,2,
4.05278,,Surface,1,Image 1,1,3,
0.942809,,Surface,1,Image 1,1,4,
