
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
21829,µm,Surface,Distance from Origin,1,0,
21809.4,µm,Surface,Distance from Origin,1,1,
21813.2,µm,Surface,Distance from Origin,1,2,
21825.9,µm,Surface,Distance from Origin,1,3,
21787.1,µm,Surface,Distance from Origin,1,4,
