
Segment Center Intensity Median Ch=4 Img=1
 ==================== 
Segment Center Intensity Median,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
64.5625,,Segment,4,3,Image 1,1,1,100000000,510000001623,
51.0312,,Segment,4,2,Image 1,1,1,100000000,510000001626,
46.0156,,Segment,4,3,Image 1,2,1,100000000,510000001630,
16.0625,,Segment,4,5,Image 1,2,1,100000004,510000001637,
32.0312,,Segment,4,4,Image 1,2,1,100000004,510000001639,
42.125,,Segment,4,3,Image 1,2,1,100000004,510000001675,
10.0625,,Segment,4,2,Image 1,1,1,100000004,510000001688,
81.0312,,Segment,4,1,Image 1,1,1,100000004,510000001690,
122.531,,Segment,4,0,Image 1,1,1,100000004,510000001704,
57.5312,,Segment,4,4,Image 1,3,1,100000004,510000001738,
32.5312,,Segment,4,5,Image 1,3,1,100000004,510000001743,
90.0312,,Segment,4,3,Image 1,1,1,100000004,510000001746,
81.0625,,Segment,4,13,Image 1,5,1,100000002,510000001753,
112.625,,Segment,4,12,Image 1,5,1,100000002,510000001760,
135.125,,Segment,4,11,Image 1,4,1,100000002,510000001790,
58.125,,Segment,4,12,Image 1,4,1,100000002,510000001801,
62.0625,,Segment,4,13,Image 1,6,1,100000002,510000001806,
13.5625,,Segment,4,22,Image 1,6,1,100000002,510000001811,
47.0625,,Segment,4,21,Image 1,5,1,100000002,510000001821,
32.0312,,Segment,4,22,Image 1,5,1,100000002,510000001827,
75.625,,Segment,4,20,Image 1,6,1,100000002,510000001870,
51.0312,,Segment,4,22,Image 1,7,1,100000002,510000001872,
64.125,,Segment,4,17,Image 1,7,1,100000002,510000001897,
148.125,,Segment,4,16,Image 1,6,1,100000002,510000001909,
122.062,,Segment,4,15,Image 1,6,1,100000002,510000001931,
32.0625,,Segment,4,15,Image 1,7,1,100000002,510000001940,
135.062,,Segment,4,14,Image 1,7,1,100000002,510000001945,
131.562,,Segment,4,13,Image 1,6,1,100000002,510000001968,
102.125,,Segment,4,12,Image 1,6,1,100000002,510000001979,
32.0625,,Segment,4,15,Image 1,8,1,100000002,510000001987,
59.0312,,Segment,4,18,Image 1,6,1,100000002,510000001989,
63.625,,Segment,4,14,Image 1,6,1,100000002,510000002004,
88.0625,,Segment,4,17,Image 1,6,1,100000002,510000002010,
40.125,,Segment,4,16,Image 1,6,1,100000002,510000002017,
73.5625,,Segment,4,19,Image 1,6,1,100000002,510000002022,
55.0625,,Segment,4,17,Image 1,6,1,100000002,510000002024,
9.625,,Segment,4,13,Image 1,7,1,100000002,510000002028,
124.125,,Segment,4,12,Image 1,6,1,100000002,510000002044,
124.625,,Segment,4,11,Image 1,6,1,100000002,510000002053,
114.562,,Segment,4,10,Image 1,5,1,100000002,510000002062,
73.125,,Segment,4,9,Image 1,5,1,100000002,510000002099,
137.031,,Segment,4,15,Image 1,6,1,100000002,510000002103,
