
Spine Part Mean Diameter
 ==================== 
Spine Part Mean Diameter Ground,Spine Part Mean Diameter Head,Spine Part Mean Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.700163,0.677083,0.416667,µm,Spine,Spine Part Mean Diameter,12,6,1,100000000,610000007455,
0.770984,0.726243,0,µm,Spine,Spine Part Mean Diameter,12,6,1,100000000,610000007842,
0.900295,0.816931,0,µm,Spine,Spine Part Mean Diameter,12,6,1,100000000,610000007849,
1.06969,1.14381,0,µm,Spine,Spine Part Mean Diameter,12,6,1,100000000,610000007850,
0.657891,0.60267,0.416667,µm,Spine,Spine Part Mean Diameter,12,7,1,100000000,610000007484,
1.0251,1.22985,0,µm,Spine,Spine Part Mean Diameter,12,7,1,100000000,610000007841,
1.1958,0.833333,0,µm,Spine,Spine Part Mean Diameter,14,6,1,100000000,610000007701,
1.1958,1.34726,0,µm,Spine,Spine Part Mean Diameter,14,6,1,100000000,610000007837,
1.02234,0.833333,0,µm,Spine,Spine Part Mean Diameter,15,6,1,100000000,610000007834,
1.40096,1.04167,0,µm,Spine,Spine Part Mean Diameter,15,6,1,100000000,610000007835,
1.48672,1.21318,0,µm,Spine,Spine Part Mean Diameter,15,6,1,100000000,610000007836,
1.50833,1.06771,0,µm,Spine,Spine Part Mean Diameter,15,7,1,100000000,610000007664,
0.884376,0.686882,0,µm,Spine,Spine Part Mean Diameter,15,8,1,100000000,610000007830,
1.00842,0.964995,0,µm,Spine,Spine Part Mean Diameter,15,8,1,100000000,610000007831,
1.18785,0.798842,0,µm,Spine,Spine Part Mean Diameter,16,6,1,100000001,610000007619,
1.15689,0.830906,0,µm,Spine,Spine Part Mean Diameter,16,7,1,100000000,610000007690,
0.554098,0.542298,0.416667,µm,Spine,Spine Part Mean Diameter,16,8,1,100000000,610000007266,
1.09616,1.22283,0,µm,Spine,Spine Part Mean Diameter,17,6,1,100000001,610000007873,
1.11559,0.753601,0,µm,Spine,Spine Part Mean Diameter,17,7,1,100000000,610000007707,
1.06671,0.416667,0,µm,Spine,Spine Part Mean Diameter,17,9,1,100000000,610000007749,
0.54126,0.416667,0,µm,Spine,Spine Part Mean Diameter,19,9,1,100000000,610000007829,
0.876821,0.673527,0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000003,610000007558,
0.852708,0.625,0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000002,610000007657,
1.18932,1.45833,0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000003,610000007898,
0.562953,0.435689,0.416667,µm,Spine,Spine Part Mean Diameter,2,2,1,100000003,610000007349,
0.899039,0.637199,0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000007644,
1.70555,0.878771,0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000007759,
0.777031,0.696615,0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000007861,
1.70555,1.51693,0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000007893,
0.565218,0.477221,0.416667,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000007387,
0.87198,0.930225,0,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000007503,
0.523546,0.630425,0,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000007881,
0.742801,0.938599,0,µm,Spine,Spine Part Mean Diameter,2,3,1,100000003,610000007897,
1.20652,1.11979,0,µm,Spine,Spine Part Mean Diameter,20,6,1,100000001,610000007871,
0.969224,0.634806,0,µm,Spine,Spine Part Mean Diameter,20,6,1,100000001,610000007872,
0.873085,0.546239,0,µm,Spine,Spine Part Mean Diameter,20,8,1,100000000,610000007825,
0.99876,0.955853,0,µm,Spine,Spine Part Mean Diameter,20,8,1,100000000,610000007826,
1.29507,0.927905,0,µm,Spine,Spine Part Mean Diameter,21,7,1,100000001,610000007715,
0.928094,0.857839,0,µm,Spine,Spine Part Mean Diameter,21,7,1,100000001,610000007870,
1.35275,1.37608,0,µm,Spine,Spine Part Mean Diameter,21,7,1,100000001,610000007882,
0.691384,0.625,0,µm,Spine,Spine Part Mean Diameter,21,9,1,100000000,610000007823,
0.732004,0.625,0,µm,Spine,Spine Part Mean Diameter,21,9,1,100000000,610000007824,
0.732161,0.693676,0.449046,µm,Spine,Spine Part Mean Diameter,23,8,1,100000000,610000007481,
0.888179,0.911078,0,µm,Spine,Spine Part Mean Diameter,23,8,1,100000000,610000007827,
0.866781,0.846341,0,µm,Spine,Spine Part Mean Diameter,23,8,1,100000000,610000007828,
0.834137,0.747171,0,µm,Spine,Spine Part Mean Diameter,24,10,1,100000000,610000007822,
0.859154,0.733145,0,µm,Spine,Spine Part Mean Diameter,3,1,1,100000002,610000007650,
1.21982,0.625,0,µm,Spine,Spine Part Mean Diameter,3,1,1,100000000,610000007862,
1.44106,1.04167,0,µm,Spine,Spine Part Mean Diameter,3,1,1,100000000,610000007863,
1.19705,1.13169,0,µm,Spine,Spine Part Mean Diameter,3,1,1,100000002,610000007891,
1.57134,1.07852,0,µm,Spine,Spine Part Mean Diameter,3,1,1,100000002,610000007892,
0.530539,0.520234,0.419393,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000007277,
0.772749,0.435475,0.416667,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000007393,
0.807561,0.703125,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000007527,
1.18992,0.941184,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000007859,
1.09493,0.927464,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000007860,
0.488461,0.416667,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000007885,
1.35853,1.26254,0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000007894,
0.769018,0.544881,0,µm,Spine,Spine Part Mean Diameter,3,3,1,100000002,610000007495,
0.769018,0.705271,0,µm,Spine,Spine Part Mean Diameter,3,3,1,100000002,610000007499,
1.17331,0.416667,0.507986,µm,Spine,Spine Part Mean Diameter,3,3,1,100000002,610000007522,
2.51621,0.520833,0,µm,Spine,Spine Part Mean Diameter,3,3,1,100000001,610000007538,
1.15076,1.42325,0,µm,Spine,Spine Part Mean Diameter,3,3,1,100000001,610000007878,
0.730143,0.416667,0.416667,µm,Spine,Spine Part Mean Diameter,3,4,1,100000001,610000007442,
0.730143,0.416667,0.416667,µm,Spine,Spine Part Mean Diameter,3,4,1,100000001,610000007448,
