
Filament Position X
 ==================== 
Filament Position X,Unit,Category,Collection,Time,ID,
-1.93294,µm,Filament,Filament Position,1,100000000,
-9.90633,µm,Filament,Filament Position,1,100000001,
-12.3348,µm,Filament,Filament Position,1,100000002,
-91.1942,µm,Filament,Filament Position,1,100000003,
