
Segment Intensity Max Ch=4 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
19,,Segment,4,21,Image 1,8,1,100000001,510000000024,
10,,Segment,4,20,Image 1,7,1,100000001,510000000027,
8,,Segment,4,19,Image 1,6,1,100000001,510000000030,
9,,Segment,4,17,Image 1,6,1,100000001,510000000034,
11,,Segment,4,16,Image 1,6,1,100000001,510000000038,
11,,Segment,4,15,Image 1,6,1,100000001,510000000041,
93,,Segment,4,14,Image 1,6,1,100000001,510000000044,
93,,Segment,4,13,Image 1,6,1,100000001,510000000048,
11,,Segment,4,11,Image 1,6,1,100000001,510000000058,
11,,Segment,4,10,Image 1,6,1,100000001,510000000065,
9,,Segment,4,9,Image 1,6,1,100000001,510000000078,
9,,Segment,4,8,Image 1,5,1,100000001,510000000089,
7,,Segment,4,7,Image 1,5,1,100000001,510000000114,
7,,Segment,4,6,Image 1,4,1,100000001,510000000118,
13,,Segment,4,5,Image 1,4,1,100000001,510000000133,
17,,Segment,4,4,Image 1,3,1,100000001,510000000168,
43,,Segment,4,3,Image 1,3,1,100000001,510000000177,
43,,Segment,4,2,Image 1,2,1,100000001,510000000185,
41,,Segment,4,1,Image 1,2,1,100000001,510000000187,
29,,Segment,4,0,Image 1,1,1,100000001,510000000192,
26,,Segment,4,24,Image 1,10,1,100000000,510000000208,
8,,Segment,4,23,Image 1,10,1,100000000,510000000243,
174,,Segment,4,22,Image 1,9,1,100000000,510000000266,
9,,Segment,4,21,Image 1,8,1,100000000,510000000276,
9,,Segment,4,20,Image 1,8,1,100000000,510000000290,
10,,Segment,4,19,Image 1,8,1,100000000,510000000310,
20,,Segment,4,17,Image 1,7,1,100000000,510000000338,
11,,Segment,4,16,Image 1,7,1,100000000,510000000341,
11,,Segment,4,15,Image 1,7,1,100000000,510000000349,
8,,Segment,4,14,Image 1,7,1,100000000,510000000367,
8,,Segment,4,13,Image 1,6,1,100000000,510000000372,
10,,Segment,4,12,Image 1,5,1,100000000,510000000398,
12,,Segment,4,10,Image 1,4,1,100000000,510000000405,
11,,Segment,4,9,Image 1,4,1,100000000,510000000407,
13,,Segment,4,8,Image 1,4,1,100000000,510000000419,
78,,Segment,4,7,Image 1,4,1,100000000,510000000433,
105,,Segment,4,6,Image 1,3,1,100000000,510000000435,
105,,Segment,4,5,Image 1,3,1,100000000,510000000440,
11,,Segment,4,4,Image 1,2,1,100000000,510000000455,
10,,Segment,4,3,Image 1,2,1,100000000,510000000459,
8,,Segment,4,2,Image 1,2,1,100000000,510000000484,
13,,Segment,4,1,Image 1,1,1,100000000,510000000493,
13,,Segment,4,0,Image 1,1,1,100000000,510000000514,
60,,Segment,4,11,Image 1,6,1,100000000,510000000541,
199,,Segment,4,9,Image 1,5,1,100000000,510000000573,
179,,Segment,4,8,Image 1,4,1,100000000,510000000597,
8,,Segment,4,7,Image 1,4,1,100000000,510000000605,
105,,Segment,4,6,Image 1,4,1,100000000,510000000616,
165,,Segment,4,11,Image 1,5,1,100000000,510000000619,
168,,Segment,4,23,Image 1,9,1,100000000,510000000641,
7,,Segment,4,3,Image 1,2,1,100000003,510000000646,
10,,Segment,4,2,Image 1,2,1,100000003,510000000719,
12,,Segment,4,1,Image 1,2,1,100000003,510000000771,
8,,Segment,4,0,Image 1,1,1,100000003,510000000793,
6,,Segment,4,3,Image 1,3,1,100000003,510000000799,
38,,Segment,4,9,Image 1,6,1,100000000,510000000821,
10,,Segment,4,8,Image 1,5,1,100000000,510000000824,
178,,Segment,4,9,Image 1,4,1,100000000,510000000831,
47,,Segment,4,6,Image 1,5,1,100000001,510000000856,
13,,Segment,4,5,Image 1,4,1,100000001,510000000863,
8,,Segment,4,4,Image 1,3,1,100000001,510000000868,
7,,Segment,4,3,Image 1,3,1,100000001,510000000891,
41,,Segment,4,2,Image 1,3,1,100000001,510000000941,
9,,Segment,4,4,Image 1,5,1,100000001,510000000954,
13,,Segment,4,3,Image 1,4,1,100000001,510000001003,
16,,Segment,4,4,Image 1,4,1,100000001,510000001015,
11,,Segment,4,5,Image 1,2,1,100000000,510000001044,
11,,Segment,4,4,Image 1,2,1,100000000,510000001071,
22,,Segment,4,3,Image 1,1,1,100000000,510000001183,
8,,Segment,4,2,Image 1,1,1,100000000,510000001185,
