
Soma Position
 ==================== 
Soma Position X,Soma Position Y,Soma Position Z,Unit,Category,Collection,Time,FilamentID,ID,
12.568,21818.3,1429.34,µm,Soma,Soma Position,1,100000000,800000000,
-8.23215,21741.6,1433.98,µm,Soma,Soma Position,1,100000001,800000001,
-14.185,21845.5,1436.28,µm,Soma,Soma Position,1,100000002,800000002,
-88.8809,21805.1,1438.94,µm,Soma,Soma Position,1,100000003,800000003,
