
Spine Branch Level
 ==================== 
Spine Branch Level,Unit,Category,Depth,Level,Time,FilamentID,ID,
2,,Spine,2,2,1,100000001,610000005273,
2,,Spine,2,2,1,100000001,610000005276,
6,,Spine,23,6,1,100000002,610000005281,
2,,Spine,4,2,1,100000001,610000005283,
1,,Spine,0,1,1,100000000,610000005287,
3,,Spine,8,3,1,100000002,610000005293,
1,,Spine,1,1,1,100000000,610000005296,
2,,Spine,2,2,1,100000000,610000005300,
2,,Spine,4,2,1,100000003,610000005303,
1,,Spine,1,1,1,100000001,610000005306,
1,,Spine,0,1,1,100000004,610000005309,
2,,Spine,3,2,1,100000003,610000005311,
2,,Spine,3,2,1,100000004,610000005314,
0,,Spine,0,1,1,100000003,610000005323,
1,,Spine,6,1,1,100000001,610000005327,
7,,Spine,15,7,1,100000002,610000005330,
0,,Spine,0,1,1,100000002,610000005337,
1,,Spine,0,1,1,100000004,610000005340,
0,,Spine,0,1,1,100000002,610000005348,
0,,Spine,0,1,1,100000002,610000005355,
0,,Spine,0,1,1,100000002,610000005363,
0,,Spine,1,2,1,100000000,610000005369,
3,,Spine,4,3,1,100000004,610000005371,
1,,Spine,1,1,1,100000000,610000005374,
0,,Spine,1,2,1,100000000,610000005379,
0,,Spine,0,1,1,100000002,610000005383,
0,,Spine,0,1,1,100000002,610000005388,
5,,Spine,13,5,1,100000002,610000005391,
1,,Spine,0,1,1,100000000,610000005394,
2,,Spine,6,2,1,100000000,610000005401,
0,,Spine,4,1,1,100000001,610000005404,
2,,Spine,1,2,1,100000004,610000005406,
6,,Spine,17,6,1,100000002,610000005409,
1,,Spine,0,1,1,100000001,610000005412,
6,,Spine,13,6,1,100000002,610000005414,
7,,Spine,17,7,1,100000002,610000005416,
0,,Spine,0,1,1,100000003,610000005420,
1,,Spine,3,1,1,100000004,610000005423,
4,,Spine,9,4,1,100000002,610000005425,
0,,Spine,0,1,1,100000002,610000005432,
1,,Spine,4,1,1,100000001,610000005434,
0,,Spine,0,1,1,100000002,610000005440,
1,,Spine,0,1,1,100000003,610000005443,
