
Spine Attachment Pt Distance from Origin
 ==================== 
Spine Attachment Pt Distance from Origin,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
21815.1,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000001,610000005273,
21812.5,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000001,610000005276,
21808.5,µm,Spine,Spine Attachment Pt Distance from Origin,23,6,1,100000002,610000005281,
21815.8,µm,Spine,Spine Attachment Pt Distance from Origin,4,2,1,100000001,610000005283,
21829.5,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000000,610000005287,
21828.3,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000000,610000005296,
21834.3,µm,Spine,Spine Attachment Pt Distance from Origin,2,2,1,100000000,610000005300,
21803.8,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000001,610000005306,
21791.3,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000004,610000005309,
21789.6,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,100000004,610000005314,
21811.2,µm,Spine,Spine Attachment Pt Distance from Origin,6,1,1,100000001,610000005327,
21815.6,µm,Spine,Spine Attachment Pt Distance from Origin,15,7,1,100000002,610000005330,
21790.9,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000004,610000005340,
21791.1,µm,Spine,Spine Attachment Pt Distance from Origin,4,3,1,100000004,610000005371,
21828.1,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000000,610000005374,
21809.7,µm,Spine,Spine Attachment Pt Distance from Origin,13,5,1,100000002,610000005391,
21828.6,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000000,610000005394,
21793,µm,Spine,Spine Attachment Pt Distance from Origin,1,2,1,100000004,610000005406,
21804.9,µm,Spine,Spine Attachment Pt Distance from Origin,17,6,1,100000002,610000005409,
21809.9,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000001,610000005412,
21809.9,µm,Spine,Spine Attachment Pt Distance from Origin,13,6,1,100000002,610000005414,
21814.4,µm,Spine,Spine Attachment Pt Distance from Origin,17,7,1,100000002,610000005416,
21792.7,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000004,610000005423,
21811.9,µm,Spine,Spine Attachment Pt Distance from Origin,9,4,1,100000002,610000005425,
21815.6,µm,Spine,Spine Attachment Pt Distance from Origin,4,1,1,100000001,610000005434,
21820.6,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000002,610000005445,
21814.3,µm,Spine,Spine Attachment Pt Distance from Origin,17,9,1,100000002,610000005460,
21792.6,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000004,610000005466,
21799,µm,Spine,Spine Attachment Pt Distance from Origin,5,3,1,100000001,610000005474,
21800.6,µm,Spine,Spine Attachment Pt Distance from Origin,8,3,1,100000001,610000005476,
21789.3,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000004,610000005486,
21814.6,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000002,610000005488,
21814.7,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,100000001,610000005496,
21811.8,µm,Spine,Spine Attachment Pt Distance from Origin,8,4,1,100000002,610000005499,
21828,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000000,610000005502,
21816.4,µm,Spine,Spine Attachment Pt Distance from Origin,3,2,1,100000001,610000005519,
21805.1,µm,Spine,Spine Attachment Pt Distance from Origin,16,6,1,100000002,610000005533,
21814.2,µm,Spine,Spine Attachment Pt Distance from Origin,17,9,1,100000002,610000005581,
21816.6,µm,Spine,Spine Attachment Pt Distance from Origin,12,6,1,100000002,610000005584,
21816.5,µm,Spine,Spine Attachment Pt Distance from Origin,12,6,1,100000002,610000005610,
21828,µm,Spine,Spine Attachment Pt Distance from Origin,0,1,1,100000003,610000005629,
21827.7,µm,Spine,Spine Attachment Pt Distance from Origin,1,1,1,100000000,610000005638,
21817.4,µm,Spine,Spine Attachment Pt Distance from Origin,14,6,1,100000002,610000005642,
21813.6,µm,Spine,Spine Attachment Pt Distance from Origin,3,1,1,100000002,610000005664,
21810.1,µm,Spine,Spine Attachment Pt Distance from Origin,2,1,1,100000001,610000005684,
