
Spine Part Mean Diameter Ground
 ==================== 
Spine Part Mean Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.416667,µm,Spine,Spine Part Mean Diameter,9,6,1,100000000,610000007214,
0.704586,µm,Spine,Spine Part Mean Diameter,6,6,1,100000003,610000007229,
0.569267,µm,Spine,Spine Part Mean Diameter,6,2,1,100000002,610000007238,
0.521765,µm,Spine,Spine Part Mean Diameter,4,4,1,100000001,610000007254,
0.554098,µm,Spine,Spine Part Mean Diameter,16,8,1,100000000,610000007266,
0.530539,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000007277,
0.474491,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000007293,
0.601076,µm,Spine,Spine Part Mean Diameter,10,6,1,100000000,610000007305,
0.909965,µm,Spine,Spine Part Mean Diameter,11,3,1,100000001,610000007318,
0.419692,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000007327,
0.419692,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000007336,
0.626863,µm,Spine,Spine Part Mean Diameter,4,4,1,100000001,610000007342,
0.562953,µm,Spine,Spine Part Mean Diameter,2,2,1,100000003,610000007349,
0.442736,µm,Spine,Spine Part Mean Diameter,5,2,1,100000002,610000007354,
0.536228,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000007361,
0.816098,µm,Spine,Spine Part Mean Diameter,1,1,1,100000003,610000007379,
0.565218,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000007387,
0.772749,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000007393,
0.707122,µm,Spine,Spine Part Mean Diameter,4,3,1,100000003,610000007398,
0.485695,µm,Spine,Spine Part Mean Diameter,5,2,1,100000002,610000007406,
0.455036,µm,Spine,Spine Part Mean Diameter,5,2,1,100000002,610000007413,
0.6282,µm,Spine,Spine Part Mean Diameter,1,1,1,100000003,610000007421,
0.6282,µm,Spine,Spine Part Mean Diameter,1,1,1,100000003,610000007429,
0.698711,µm,Spine,Spine Part Mean Diameter,1,1,1,100000003,610000007435,
0.730143,µm,Spine,Spine Part Mean Diameter,3,4,1,100000001,610000007442,
0.730143,µm,Spine,Spine Part Mean Diameter,3,4,1,100000001,610000007448,
0.618514,µm,Spine,Spine Part Mean Diameter,8,5,1,100000000,610000007452,
0.700163,µm,Spine,Spine Part Mean Diameter,12,6,1,100000000,610000007455,
0.550324,µm,Spine,Spine Part Mean Diameter,5,3,1,100000002,610000007458,
0.474002,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000007469,
0.493113,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000007474,
0.732161,µm,Spine,Spine Part Mean Diameter,23,8,1,100000000,610000007481,
0.657891,µm,Spine,Spine Part Mean Diameter,12,7,1,100000000,610000007484,
0.86571,µm,Spine,Spine Part Mean Diameter,1,1,1,100000003,610000007488,
0.9763,µm,Spine,Spine Part Mean Diameter,1,1,1,100000003,610000007491,
0.769018,µm,Spine,Spine Part Mean Diameter,3,3,1,100000002,610000007495,
0.769018,µm,Spine,Spine Part Mean Diameter,3,3,1,100000002,610000007499,
0.87198,µm,Spine,Spine Part Mean Diameter,2,3,1,100000001,610000007503,
0.596228,µm,Spine,Spine Part Mean Diameter,4,2,1,100000000,610000007508,
0.596228,µm,Spine,Spine Part Mean Diameter,4,2,1,100000000,610000007513,
0.596228,µm,Spine,Spine Part Mean Diameter,4,2,1,100000000,610000007517,
0.877524,µm,Spine,Spine Part Mean Diameter,5,4,1,100000001,610000007519,
1.17331,µm,Spine,Spine Part Mean Diameter,3,3,1,100000002,610000007522,
1.4325,µm,Spine,Spine Part Mean Diameter,5,4,1,100000001,610000007525,
0.807561,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000007527,
1.10089,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000007534,
2.51621,µm,Spine,Spine Part Mean Diameter,3,3,1,100000001,610000007538,
0.455729,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000007545,
1.11799,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007554,
0.693878,µm,Spine,Spine Part Mean Diameter,10,6,1,100000000,610000007556,
0.876821,µm,Spine,Spine Part Mean Diameter,2,1,1,100000003,610000007558,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007569,
0.416667,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000007575,
1.63412,µm,Spine,Spine Part Mean Diameter,1,1,1,100000000,610000007579,
0.839242,µm,Spine,Spine Part Mean Diameter,7,4,1,100000003,610000007583,
1.61346,µm,Spine,Spine Part Mean Diameter,8,3,1,100000003,610000007585,
0.864037,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007594,
1.23111,µm,Spine,Spine Part Mean Diameter,6,1,1,100000002,610000007597,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000007603,
0.939929,µm,Spine,Spine Part Mean Diameter,3,4,1,100000001,610000007606,
0.557454,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000007610,
0.90757,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007617,
1.18785,µm,Spine,Spine Part Mean Diameter,16,6,1,100000001,610000007619,
1.01316,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007627,
0.871754,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000007629,
0.689679,µm,Spine,Spine Part Mean Diameter,7,2,1,100000003,610000007631,
1.11057,µm,Spine,Spine Part Mean Diameter,5,2,1,100000002,610000007634,
0.859987,µm,Spine,Spine Part Mean Diameter,4,3,1,100000003,610000007637,
0.929522,µm,Spine,Spine Part Mean Diameter,4,1,1,100000002,610000007640,
0.899039,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000007644,
0.416667,µm,Spine,Spine Part Mean Diameter,0,1,1,100000003,610000007648,
0.859154,µm,Spine,Spine Part Mean Diameter,3,1,1,100000002,610000007650,
0.852708,µm,Spine,Spine Part Mean Diameter,2,1,1,100000002,610000007657,
0.867019,µm,Spine,Spine Part Mean Diameter,4,2,1,100000000,610000007659,
1.44035,µm,Spine,Spine Part Mean Diameter,5,2,1,100000003,610000007662,
1.50833,µm,Spine,Spine Part Mean Diameter,15,7,1,100000000,610000007664,
1.23089,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000007668,
0.827265,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000007670,
