
Spine Number of Voxel Ch=5 Img=1
 ==================== 
Spine Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
72,,Spine,5,2,Image 1,2,1,100000001,610000005273,
246,,Spine,5,2,Image 1,2,1,100000001,610000005276,
448,,Spine,5,23,Image 1,6,1,100000002,610000005281,
178,,Spine,5,4,Image 1,2,1,100000001,610000005283,
208,,Spine,5,0,Image 1,1,1,100000000,610000005287,
126,,Spine,5,8,Image 1,3,1,100000002,610000005293,
65,,Spine,5,1,Image 1,1,1,100000000,610000005296,
73,,Spine,5,2,Image 1,2,1,100000000,610000005300,
162,,Spine,5,4,Image 1,2,1,100000003,610000005303,
130,,Spine,5,1,Image 1,1,1,100000001,610000005306,
308,,Spine,5,0,Image 1,1,1,100000004,610000005309,
128,,Spine,5,3,Image 1,2,1,100000003,610000005311,
95,,Spine,5,3,Image 1,2,1,100000004,610000005314,
35,,Spine,5,0,Image 1,1,1,100000003,610000005323,
173,,Spine,5,6,Image 1,1,1,100000001,610000005327,
171,,Spine,5,15,Image 1,7,1,100000002,610000005330,
50,,Spine,5,0,Image 1,1,1,100000002,610000005337,
218,,Spine,5,0,Image 1,1,1,100000004,610000005340,
37,,Spine,5,0,Image 1,1,1,100000002,610000005348,
201,,Spine,5,0,Image 1,1,1,100000002,610000005355,
152,,Spine,5,0,Image 1,1,1,100000002,610000005363,
189,,Spine,5,1,Image 1,1,1,100000000,610000005369,
59,,Spine,5,4,Image 1,3,1,100000004,610000005371,
135,,Spine,5,1,Image 1,1,1,100000000,610000005374,
184,,Spine,5,1,Image 1,1,1,100000000,610000005379,
38,,Spine,5,0,Image 1,1,1,100000002,610000005383,
64,,Spine,5,0,Image 1,1,1,100000002,610000005388,
191,,Spine,5,13,Image 1,5,1,100000002,610000005391,
132,,Spine,5,0,Image 1,1,1,100000000,610000005394,
115,,Spine,5,6,Image 1,2,1,100000000,610000005401,
885,,Spine,5,6,Image 1,1,1,100000001,610000005404,
66,,Spine,5,1,Image 1,2,1,100000004,610000005406,
97,,Spine,5,17,Image 1,6,1,100000002,610000005409,
67,,Spine,5,0,Image 1,1,1,100000001,610000005412,
152,,Spine,5,13,Image 1,6,1,100000002,610000005414,
82,,Spine,5,17,Image 1,7,1,100000002,610000005416,
128,,Spine,5,0,Image 1,1,1,100000003,610000005420,
179,,Spine,5,3,Image 1,1,1,100000004,610000005423,
275,,Spine,5,9,Image 1,4,1,100000002,610000005425,
609,,Spine,5,0,Image 1,1,1,100000002,610000005432,
229,,Spine,5,4,Image 1,1,1,100000001,610000005434,
86,,Spine,5,0,Image 1,1,1,100000002,610000005440,
234,,Spine,5,0,Image 1,1,1,100000003,610000005443,
112,,Spine,5,0,Image 1,1,1,100000002,610000005445,
131,,Spine,5,5,Image 1,2,1,100000001,610000005447,
58,,Spine,5,3,Image 1,1,1,100000004,610000005449,
100,,Spine,5,20,Image 1,5,1,100000002,610000005454,
91,,Spine,5,0,Image 1,1,1,100000000,610000005457,
180,,Spine,5,17,Image 1,9,1,100000002,610000005460,
369,,Spine,5,14,Image 1,6,1,100000002,610000005464,
156,,Spine,5,3,Image 1,1,1,100000004,610000005466,
95,,Spine,5,0,Image 1,1,1,100000002,610000005471,
94,,Spine,5,5,Image 1,3,1,100000001,610000005474,
65,,Spine,5,8,Image 1,3,1,100000001,610000005476,
193,,Spine,5,0,Image 1,1,1,100000003,610000005480,
82,,Spine,5,3,Image 1,3,1,100000001,610000005483,
126,,Spine,5,0,Image 1,1,1,100000004,610000005486,
364,,Spine,5,1,Image 1,1,1,100000002,610000005488,
1753,,Spine,5,1,Image 1,1,1,100000000,610000005492,
117,,Spine,5,3,Image 1,2,1,100000001,610000005496,
148,,Spine,5,8,Image 1,4,1,100000002,610000005499,
94,,Spine,5,1,Image 1,1,1,100000000,610000005502,
296,,Spine,5,0,Image 1,1,1,100000002,610000005507,
237,,Spine,5,1,Image 1,1,1,100000000,610000005511,
73,,Spine,5,0,Image 1,1,1,100000003,610000005515,
200,,Spine,5,16,Image 1,7,1,100000002,610000005517,
126,,Spine,5,3,Image 1,2,1,100000001,610000005519,
28,,Spine,5,0,Image 1,1,1,100000003,610000005523,
74,,Spine,5,0,Image 1,1,1,100000002,610000005527,
241,,Spine,5,12,Image 1,6,1,100000002,610000005529,
147,,Spine,5,16,Image 1,6,1,100000002,610000005533,
26,,Spine,5,6,Image 1,1,1,100000001,610000005535,
260,,Spine,5,1,Image 1,2,1,100000000,610000005538,
135,,Spine,5,7,Image 1,2,1,100000003,610000005540,
75,,Spine,5,0,Image 1,1,1,100000002,610000005547,
157,,Spine,5,1,Image 1,1,1,100000000,610000005551,
580,,Spine,5,0,Image 1,1,1,100000002,610000005555,
110,,Spine,5,0,Image 1,1,1,100000003,610000005557,
26,,Spine,5,0,Image 1,1,1,100000002,610000005561,
442,,Spine,5,0,Image 1,1,1,100000001,610000005566,
354,,Spine,5,1,Image 1,1,1,100000000,610000005571,
156,,Spine,5,12,Image 1,6,1,100000002,610000005574,
125,,Spine,5,1,Image 1,1,1,100000000,610000005578,
185,,Spine,5,17,Image 1,9,1,100000002,610000005581,
176,,Spine,5,12,Image 1,6,1,100000002,610000005584,
30,,Spine,5,0,Image 1,1,1,100000003,610000005586,
49,,Spine,5,0,Image 1,1,1,100000002,610000005588,
79,,Spine,5,20,Image 1,5,1,100000002,610000005590,
435,,Spine,5,0,Image 1,1,1,100000002,610000005595,
35,,Spine,5,0,Image 1,1,1,100000003,610000005597,
329,,Spine,5,6,Image 1,1,1,100000001,610000005600,
511,,Spine,5,0,Image 1,1,1,100000001,610000005604,
110,,Spine,5,1,Image 1,1,1,100000000,610000005608,
215,,Spine,5,12,Image 1,6,1,100000002,610000005610,
69,,Spine,5,1,Image 1,1,1,100000000,610000005612,
106,,Spine,5,1,Image 1,1,1,100000000,610000005614,
69,,Spine,5,15,Image 1,7,1,100000002,610000005618,
79,,Spine,5,6,Image 1,2,1,100000002,610000005620,
439,,Spine,5,1,Image 1,1,1,100000000,610000005623,
21,,Spine,5,6,Image 1,1,1,100000001,610000005626,
182,,Spine,5,0,Image 1,1,1,100000003,610000005629,
50,,Spine,5,0,Image 1,1,1,100000002,610000005633,
311,,Spine,5,1,Image 1,1,1,100000000,610000005638,
247,,Spine,5,14,Image 1,6,1,100000002,610000005642,
57,,Spine,5,0,Image 1,1,1,100000002,610000005645,
912,,Spine,5,0,Image 1,1,1,100000002,610000005649,
529,,Spine,5,0,Image 1,1,1,100000002,610000005651,
322,,Spine,5,6,Image 1,1,1,100000001,610000005654,
338,,Spine,5,1,Image 1,1,1,100000000,610000005658,
924,,Spine,5,6,Image 1,1,1,100000001,610000005661,
242,,Spine,5,3,Image 1,1,1,100000002,610000005664,
15,,Spine,5,0,Image 1,1,1,100000003,610000005672,
96,,Spine,5,0,Image 1,1,1,100000002,610000005681,
237,,Spine,5,2,Image 1,1,1,100000001,610000005684,
178,,Spine,5,1,Image 1,1,1,100000000,610000005693,
292,,Spine,5,1,Image 1,1,1,100000000,610000005697,
1052,,Spine,5,3,Image 1,1,1,100000004,610000005701,
403,,Spine,5,0,Image 1,1,1,100000001,610000005706,
278,,Spine,5,0,Image 1,1,1,100000002,610000005709,
168,,Spine,5,1,Image 1,1,1,100000000,610000005712,
212,,Spine,5,3,Image 1,1,1,100000002,610000005715,
266,,Spine,5,14,Image 1,6,1,100000002,610000005719,
121,,Spine,5,6,Image 1,2,1,100000000,610000005729,
425,,Spine,5,3,Image 1,1,1,100000004,610000005731,
114,,Spine,5,16,Image 1,6,1,100000002,610000005737,
842,,Spine,5,0,Image 1,1,1,100000002,610000005768,
93,,Spine,5,2,Image 1,2,1,100000000,610000005779,
131,,Spine,5,2,Image 1,2,1,100000000,610000005780,
390,,Spine,5,0,Image 1,1,1,100000000,610000005781,
249,,Spine,5,0,Image 1,1,1,100000000,610000005785,
203,,Spine,5,1,Image 1,2,1,100000000,610000005788,
281,,Spine,5,1,Image 1,2,1,100000000,610000005789,
341,,Spine,5,0,Image 1,1,1,100000000,610000005790,
38,,Spine,5,4,Image 1,3,1,100000000,610000005793,
35,,Spine,5,2,Image 1,2,1,100000000,610000005794,
106,,Spine,5,6,Image 1,2,1,100000000,610000005795,
134,,Spine,5,6,Image 1,3,1,100000000,610000005796,
90,,Spine,5,6,Image 1,3,1,100000000,610000005797,
38,,Spine,5,3,Image 1,4,1,100000000,610000005798,
207,,Spine,5,0,Image 1,1,1,100000000,610000005799,
69,,Spine,5,0,Image 1,1,1,100000000,610000005800,
81,,Spine,5,0,Image 1,1,1,100000000,610000005801,
119,,Spine,5,5,Image 1,3,1,100000001,610000005802,
60,,Spine,5,5,Image 1,2,1,100000001,610000005803,
59,,Spine,5,5,Image 1,2,1,100000001,610000005804,
98,,Spine,5,3,Image 1,2,1,100000001,610000005805,
282,,Spine,5,4,Image 1,1,1,100000001,610000005812,
115,,Spine,5,5,Image 1,2,1,100000001,610000005813,
99,,Spine,5,5,Image 1,2,1,100000001,610000005814,
71,,Spine,5,5,Image 1,3,1,100000001,610000005815,
74,,Spine,5,2,Image 1,2,1,100000001,610000005816,
47,,Spine,5,2,Image 1,2,1,100000001,610000005817,
67,,Spine,5,3,Image 1,2,1,100000001,610000005824,
47,,Spine,5,3,Image 1,2,1,100000001,610000005825,
62,,Spine,5,2,Image 1,2,1,100000001,610000005826,
125,,Spine,5,2,Image 1,2,1,100000001,610000005827,
99,,Spine,5,4,Image 1,2,1,100000001,610000005829,
36,,Spine,5,8,Image 1,4,1,100000001,610000005830,
47,,Spine,5,8,Image 1,4,1,100000001,610000005831,
69,,Spine,5,6,Image 1,3,1,100000001,610000005832,
71,,Spine,5,5,Image 1,3,1,100000001,610000005833,
110,,Spine,5,23,Image 1,6,1,100000002,610000005843,
87,,Spine,5,22,Image 1,6,1,100000002,610000005844,
169,,Spine,5,22,Image 1,6,1,100000002,610000005845,
