
Filament No. Spine Terminal Pts
 ==================== 
Filament No. Spine Terminal Pts,Unit,Category,Time,ID,
101,,Filament,1,100000000,
26,,Filament,1,100000001,
40,,Filament,1,100000002,
47,,Filament,1,100000003,
